#{"t_start": 1784552125.6672442, "env_id": "UR10E-pgp-v0"}
r,l,t
-1300.819332,1000,24.354012
-443.105551,1000,79.820896
-1255.286911,1000,133.990359
-737.791152,1000,191.070111
-887.277684,1000,247.466765
-653.654357,1000,304.476298
-548.328699,1000,361.200057
-378.005911,1000,418.578078
-375.416713,1000,476.230652
-357.635223,1000,533.526989
-512.063303,1000,590.991563
-322.176607,1000,648.52516
-349.609136,1000,706.008347
-292.645255,1000,760.387848
-309.839443,1000,816.965148
-290.543174,1000,873.576117
-291.976087,1000,930.663972
-298.731955,1000,988.445661
-305.723907,1000,1045.146765
-290.884958,1000,1102.953356
-273.87444,1000,1161.042708
-268.574123,1000,1219.128713
-292.365272,1000,1277.584545
-267.313377,1000,1336.199789
-278.412468,1000,1390.445308
-328.987914,1000,1446.976079
-242.903285,1000,1505.449399
-245.926655,1000,1563.034718
-276.399256,1000,1619.246785
-238.391372,1000,1674.600574
-264.231466,1000,1729.089911
-255.604341,1000,1784.292686
-250.851219,1000,1838.489934
-215.210006,1000,1893.132674
-234.161537,1000,1947.723572
-238.054795,1000,2002.698056
-317.288184,1000,2057.335894
-242.835581,1000,2112.003481
-228.398677,1000,2166.915297
-238.63181,1000,2221.59236
-228.732072,1000,2276.078584
-259.511979,1000,2330.650835
-241.594029,1000,2349.075725
-260.718833,1000,2403.603719
-207.48427,1000,2458.341708
-279.157261,1000,2512.993465
-220.139397,1000,2567.596
-236.083387,1000,2622.366504
-239.028762,1000,2676.876753
-252.90958,1000,2731.355757
-243.625337,1000,2785.983171
-250.792227,1000,2840.412125
-262.644882,1000,2898.24917
-246.68284,1000,2956.794611
-238.458812,1000,3012.492479
-243.596609,1000,3070.398656
-417.596289,1000,3124.444988
-259.013827,1000,3183.567031
-254.226713,1000,3241.295407
-228.575123,1000,3296.480744
-246.072017,1000,3351.618543
-385.678027,1000,3406.45551
-294.16405,1000,3462.651251
-244.446941,1000,3518.46719
-191.221644,1000,3574.679495
-228.308716,1000,3632.876212
-238.985309,1000,3689.671059
-229.130007,1000,3747.735185
-192.868996,1000,3807.063883
-228.12782,1000,3863.290116
-243.043004,1000,3921.193241
-216.112838,1000,3978.231994
-218.951202,1000,4035.445605
-198.208942,1000,4090.717841
-338.086726,1000,4146.471702
-222.633546,1000,4202.605808
-245.19496,1000,4257.955298
-222.879957,1000,4314.859455
-196.482582,1000,4370.750397
-216.128553,1000,4427.463529
-262.253581,1000,4484.377266
-229.572555,1000,4541.119005
-219.937142,1000,4598.030065
-215.344588,1000,4655.209188
-209.532299,1000,4711.394452
-572.514752,1000,4730.55978
-283.023066,1000,4785.577832
-307.609647,1000,4840.291725
-227.753454,1000,4895.077595
-231.361881,1000,4949.725294
-231.203045,1000,5004.712081
-267.699491,1000,5059.596698
-245.306724,1000,5113.695976
-240.994908,1000,5170.99912
-237.381323,1000,5226.77424
-278.566725,1000,5282.791956
-251.316483,1000,5339.927588
-283.434079,1000,5396.129743
-215.034895,1000,5451.112601
-285.041019,1000,5506.166693
-295.312788,1000,5561.110779
-336.133225,1000,5615.995
-260.937131,1000,5670.969088
-244.97281,1000,5726.113302
-209.748386,1000,5781.231662
-348.008307,1000,5836.120867
-249.299045,1000,5891.075833
-222.735579,1000,5946.202826
-229.557035,1000,6001.444416
-243.733338,1000,6056.423578
-263.252907,1000,6111.534027
-228.70462,1000,6167.943202
-271.393421,1000,6223.360353
-280.1307,1000,6279.650809
-221.932122,1000,6336.205245
-225.865801,1000,6393.988783
-270.779894,1000,6452.923803
-265.272161,1000,6512.460634
-276.838119,1000,6570.522848
-200.140713,1000,6625.790551
-315.622492,1000,6681.045991
-415.26074,1000,6736.11595
-213.307851,1000,6791.116832
-253.757886,1000,6846.487349
-289.651159,1000,6901.739828
-203.695664,1000,6956.733632
-269.956171,1000,7016.830333
-214.341962,1000,7038.395763
-307.969356,1000,7100.526899
-375.471974,1000,7162.759782
-245.927487,1000,7220.40274
-534.484647,1000,7277.616544
-222.768396,1000,7334.557921
-251.001414,1000,7391.18253
-224.894919,1000,7447.895289
-317.232585,1000,7504.947416
-215.271003,1000,7560.999829
-195.600812,1000,7617.846372
-404.679733,1000,7672.734662
-255.456996,1000,7729.707891
-213.378693,1000,7788.10498
-232.233361,1000,7847.533013
-251.387804,1000,7910.319577
-208.755178,1000,7973.659021
-243.764123,1000,8037.418448
-222.891085,1000,8093.275781
-242.154755,1000,8148.838925
-211.783653,1000,8203.852124
-288.785093,1000,8258.700735
-267.74532,1000,8315.08681
-207.23482,1000,8372.614093
-208.343676,1000,8429.710481
-228.63601,1000,8488.527751
-217.370213,1000,8547.450558
-250.194088,1000,8606.7357
-305.379692,1000,8664.012716
-210.869097,1000,8721.9371
-230.84895,1000,8779.523438
-223.377733,1000,8837.500984
-189.706451,1000,8894.399789
-223.496289,1000,8954.870119
-213.611831,1000,9018.869843
-225.029002,1000,9078.688369
-257.094161,1000,9138.037356
-252.973382,1000,9196.435581
-331.082565,1000,9251.85781
-207.049006,1000,9308.112404
-196.935345,1000,9371.876521
-237.250688,1000,9434.315539
-230.854351,1000,9497.103335
-241.996019,1000,9518.66974
-235.369333,1000,9578.185752
-218.659,1000,9639.421041
-231.18757,1000,9698.177406
-208.583251,1000,9757.317794
-222.798108,1000,9815.33747
-227.72576,1000,9876.494941
-198.64749,1000,9938.461145
-221.58975,1000,10001.262484
-254.137911,1000,10063.598206
-249.870371,1000,10126.18201
-218.744518,1000,10188.451017
-247.125102,1000,10250.74821
-234.563271,1000,10311.327291
-278.774505,1000,10367.920131
-219.935805,1000,10427.223883
-242.813772,1000,10488.48413
-269.252942,1000,10549.499137
-289.6109,1000,10605.640845
-201.574527,1000,10660.764054
-210.730436,1000,10715.700545
-322.945134,1000,10770.670939
-204.897131,1000,10825.585281
-185.851101,1000,10880.459759
-203.503978,1000,10935.587636
-245.755156,1000,10990.375314
-195.024176,1000,11046.663978
-314.956474,1000,11105.56419
-260.498864,1000,11161.473325
-208.531037,1000,11216.37379
-205.015491,1000,11272.673923
-190.860912,1000,11331.714591
-244.089989,1000,11387.932819
-252.919633,1000,11445.033602
-294.354135,1000,11499.907807
-221.599098,1000,11560.314495
-192.841009,1000,11618.101915
-239.257637,1000,11678.932861
-398.304585,1000,11737.144733
-249.975672,1000,11797.407467
-199.523836,1000,11854.470826
-289.430496,1000,11915.041638
-227.68864,1000,11969.605806
-245.691197,1000,11989.066287
-192.328666,1000,12042.101832
-239.003566,1000,12095.66334
-257.492129,1000,12148.050263
-188.403655,1000,12203.814967
-200.336024,1000,12257.713988
-234.568028,1000,12312.599599
-208.889997,1000,12369.087457
-212.800293,1000,12426.772745
-198.152878,1000,12481.68088
-235.139927,1000,12537.724823
-206.187527,1000,12592.386611
-210.866414,1000,12646.64529
-239.680837,1000,12700.043151
-223.395135,1000,12754.730749
-204.283273,1000,12809.399029
-180.819408,1000,12864.115883
-197.332641,1000,12918.108839
-217.423961,1000,12975.090842
-348.119232,1000,13032.519724
-265.125874,1000,13089.929044
-245.481484,1000,13144.794629
-224.815853,1000,13204.218644
-216.076749,1000,13264.403457
-318.913836,1000,13323.779113
-223.198228,1000,13383.468337
-208.37737,1000,13441.163505
-189.46051,1000,13499.599026
-199.360506,1000,13559.264951
-218.570291,1000,13617.934692
-285.319486,1000,13674.687192
-251.018181,1000,13731.078954
-224.327673,1000,13786.952179
-306.550455,1000,13840.265782
-622.623042,1000,13896.80702
-249.893699,1000,13953.330821
-202.329818,1000,14009.502585
-219.323701,1000,14066.348785
-464.539879,1000,14121.423436
-219.766231,1000,14176.147204
-212.547144,1000,14232.545717
-263.590464,1000,14287.811761
-299.04274,1000,14307.205216
-252.417618,1000,14361.673008
-262.567037,1000,14419.839278
-207.593022,1000,14477.7593
-259.404735,1000,14535.477237
-242.911662,1000,14592.991581
