#{"t_start": 1784802288.1297753, "env_id": "UR10E-reach-v0"}
r,l,t
-625.864221,1000,17.287093
-1365.777055,1000,104.886933
-888.289245,1000,189.565579
-652.182345,1000,273.202414
-887.893442,1000,355.677247
-419.053869,1000,434.586186
-397.527055,1000,514.245892
-458.998862,1000,594.994819
-108.039505,306,620.164183
-419.657165,1000,703.392727
-141.712616,1000,787.046945
-297.98007,1000,870.862338
-410.878164,1000,950.697769
-156.546682,1000,1031.791468
-62.767855,287,1054.992509
-104.905552,249,1076.625869
-293.138766,658,1137.517225
-358.426093,1000,1217.906409
-177.756193,250,1239.351336
-58.0585,111,1249.682315
-179.435641,231,1268.542696
-150.317684,337,1296.19759
-319.902785,1000,1377.90977
-55.622747,159,1391.03081
-116.201834,714,1450.348735
-43.233503,372,1480.532447
-205.370245,461,1518.534946
-194.75677,249,1538.141108
-61.364841,170,1551.424484
-202.946925,1000,1631.737796
-212.608887,280,1655.114819
-260.216496,640,1708.116164
-187.733311,256,1730.227723
-245.967864,610,1779.223832
-168.802955,228,1797.472398
-16.101165,63,1802.390324
-62.497662,115,1811.898784
-242.548608,294,1836.203646
-92.613757,162,1849.136844
-175.442465,239,1868.374166
-39.8703,117,1877.540782
-150.953411,1000,1958.813688
-206.681721,341,1986.44743
-52.501359,199,2002.378901
-56.903917,112,2011.228362
-200.082974,300,2035.041656
-145.156456,239,2054.010746
-44.940211,182,2067.720321
-105.155378,193,2081.995373
-21.744549,77,2087.910792
-99.939501,752,2145.614495
-140.305446,201,2161.466956
-214.555911,261,2182.130504
-270.545123,1000,2261.118025
-154.204929,221,2278.568927
-43.807202,104,2286.839167
-32.868026,89,2293.922153
-78.548388,154,2306.033138
-183.635421,237,2324.851686
-30.910465,102,2333.040562
-198.090683,249,2352.858473
-138.12799,202,2368.847317
-232.040981,286,2391.538693
-139.514633,194,2406.755666
-66.785716,147,2418.407598
-185.192721,241,2437.434996
-33.314717,97,2445.089079
-104.001295,198,2460.535087
-194.212586,244,2479.914353
-198.533052,290,2503.19311
-176.37877,236,2522.373498
-181.104783,1000,2601.162855
-66.59342,124,2610.870012
-222.415208,266,2631.565088
-87.986292,197,2646.322569
-190.968289,252,2665.351044
-132.66768,183,2679.095501
-40.686826,103,2686.832099
-51.458327,110,2694.910326
-142.792054,200,2710.782855
-176.06432,274,2731.352647
-206.347825,256,2750.577178
-82.820439,142,2761.444548
-26.773889,81,2767.76804
-37.667055,96,2775.217489
-36.639624,102,2783.304936
-51.241155,103,2791.242419
-37.700007,118,2800.263272
-75.184214,131,2810.448442
-87.737932,176,2823.86032
-165.282289,217,2840.068013
-36.759309,107,2848.411812
-21.10998,77,2854.535836
-157.508253,225,2871.612977
-93.490571,213,2887.743242
-186.204881,238,2905.829856
-21.399458,87,2912.411929
-74.937128,159,2924.415149
-82.452002,156,2936.188702
-205.691706,248,2954.479254
-199.810105,247,2976.430716
-93.111862,155,2988.426924
-96.6012,312,3012.594754
-102.782372,328,3037.248679
-71.788574,161,3049.707137
-23.561045,79,3055.483272
