#{"t_start": 1785346449.0289364, "env_id": "UR10E-pgp-v0"}
r,l,t
-602.427211,1000,52.244717
-313.470336,1000,92.787321
-276.859051,1000,133.455251
-203.48067,1000,174.750714
-464.607108,1000,215.940683
-233.098751,1000,257.047298
-1017.068224,1000,297.569278
-296.521114,1000,338.240197
-246.486521,1000,378.625612
-459.590088,1000,419.043994
-474.510956,1000,459.655285
-184.533162,1000,500.319319
-240.078143,1000,541.728387
-226.548969,1000,583.490554
-303.376664,1000,624.231702
-207.095177,1000,664.842355
-538.620913,1000,707.012562
-295.996142,1000,748.284087
-237.608046,1000,789.186418
-535.955914,1000,828.980333
-321.516829,1000,869.995927
-247.573112,1000,910.065745
-279.657496,1000,950.727721
-261.997786,1000,991.729079
-232.428817,1000,1033.230996
-537.079278,1000,1074.479195
-201.000758,1000,1116.493644
-218.359298,1000,1158.626342
-246.721732,1000,1200.179333
-193.559635,1000,1240.713508
-255.2337,1000,1281.325363
-225.529834,1000,1323.10481
-233.932148,1000,1363.120704
-205.432854,1000,1405.070827
-266.637322,1000,1445.74636
-221.403495,1000,1485.699187
-222.533925,1000,1524.740894
-192.296199,1000,1566.124194
-504.205753,1000,1606.735867
-413.355008,1000,1648.595626
-261.862104,1000,1689.22554
-231.409314,1000,1731.133913
-296.883477,1000,1773.013488
-317.060921,1000,1814.668898
-178.252847,1000,1856.212632
-265.60497,1000,1894.832235
-450.136823,1000,1933.84522
-310.150695,1000,1973.620079
-181.171264,1000,2014.679789
-481.167455,1000,2055.638963
-194.743039,1000,2096.884997
-201.61586,1000,2137.979594
-186.724174,1000,2180.08478
-181.04311,1000,2222.606678
-240.22044,1000,2263.5922
-422.957433,1000,2301.954519
-425.485994,1000,2342.908172
-194.82294,1000,2383.722647
-507.96904,1000,2424.605685
-257.411682,1000,2464.813971
-198.797584,1000,2506.776334
-771.395533,1000,2549.974104
-194.0128,1000,2592.10432
-192.948468,1000,2634.418381
-302.578424,1000,2676.922591
-203.785699,1000,2718.629155
-259.39913,1000,2760.512321
-200.578526,1000,2803.046106
-440.188771,1000,2846.688274
-191.455487,1000,2890.451723
-258.858331,1000,2935.73967
-466.500423,1000,2978.925672
-200.846738,1000,3021.163429
-215.340511,1000,3061.118791
-220.141502,1000,3103.288182
-274.800121,1000,3145.248752
-204.237583,1000,3187.456186
-244.25099,1000,3228.925532
-226.882163,1000,3272.734746
-212.561579,1000,3314.253317
-170.917693,1000,3357.416821
-274.274063,1000,3400.333248
-172.245021,1000,3443.98083
-191.431513,1000,3487.819818
-226.426523,1000,3530.446141
-219.012126,1000,3573.331004
-184.598508,1000,3616.651566
-304.085489,1000,3658.816876
-202.291754,1000,3700.124795
-321.90153,1000,3741.7113
-199.447739,1000,3784.089427
-409.834462,1000,3826.600417
-183.333347,1000,3870.36624
-177.162831,1000,3914.265275
-176.77587,1000,3956.491727
-281.905121,1000,3998.569423
-518.596863,1000,4040.822228
-207.507849,1000,4083.161653
-181.145935,1000,4125.800933
-194.90938,1000,4168.205549
-229.022701,1000,4209.368126
-191.030192,1000,4253.840833
-191.90517,1000,4296.995049
-221.404959,1000,4341.150271
-272.232267,1000,4385.259246
-192.092464,1000,4426.53547
-215.309496,1000,4469.681502
-171.833743,1000,4513.668136
-170.774853,1000,4557.508315
-271.861889,1000,4601.159346
-168.703418,1000,4643.835107
-185.065737,1000,4686.662696
-299.713845,1000,4728.985976
-182.564376,1000,4772.386127
-280.908151,1000,4816.202688
-215.673801,1000,4860.476164
-661.555559,1000,4900.331613
-221.22361,1000,4940.820035
-364.379981,1000,4983.047416
-219.622958,1000,5024.64086
-204.499184,1000,5067.934223
-177.422858,1000,5110.101525
-214.471763,1000,5152.765031
