#{"t_start": 1785346450.285053, "env_id": "UR10E-pgp-v0"}
r,l,t
-734.973924,1000,50.998942
-353.479504,1000,91.537102
-265.628949,1000,132.205471
-236.622231,1000,173.502432
-285.725713,1000,214.690907
-237.241333,1000,255.798013
-275.273062,1000,296.319473
-296.332596,1000,336.990342
-202.206523,1000,377.375522
-244.925456,1000,417.794324
-382.885657,1000,458.405703
-327.112899,1000,499.072196
-233.820555,1000,540.479623
-243.869039,1000,582.240747
-459.957094,1000,622.981485
-277.255526,1000,663.592556
-246.712075,1000,705.76442
-248.021078,1000,747.034431
-231.950846,1000,787.93629
-455.726688,1000,827.734021
-239.551976,1000,868.747619
-497.599087,1000,908.815839
-262.451822,1000,949.477758
-586.56923,1000,990.479421
-344.396901,1000,1031.98136
-270.656837,1000,1073.229059
-319.587867,1000,1115.243613
-624.257035,1000,1157.377211
-431.416626,1000,1198.929384
-193.283392,1000,1239.464273
-230.740862,1000,1280.07554
-706.084362,1000,1321.855328
-354.289929,1000,1361.871366
-210.421426,1000,1403.821947
-295.356579,1000,1444.496106
-314.941635,1000,1484.449587
-306.829453,1000,1523.491853
-212.415354,1000,1564.874657
-268.977935,1000,1605.486033
-165.001345,1000,1647.345932
-384.549098,1000,1687.975923
-193.57691,1000,1729.883947
-184.65408,1000,1771.763514
-205.037404,1000,1813.418864
-205.127966,1000,1854.962843
-228.336044,1000,1893.582439
-186.074449,1000,1932.595288
-189.683228,1000,1972.371118
-190.975141,1000,2013.429902
-264.851392,1000,2054.39048
-204.859834,1000,2095.635459
-190.330048,1000,2136.730093
-329.413381,1000,2178.835488
-208.112844,1000,2221.357188
-172.253354,1000,2262.343118
-189.821132,1000,2300.70459
-208.283772,1000,2341.65891
-201.175511,1000,2382.472828
-208.113068,1000,2423.356234
-286.624168,1000,2463.564492
-208.234174,1000,2505.526539
-359.813215,1000,2548.725096
-177.239637,1000,2590.854951
-192.41431,1000,2633.168613
-193.602506,1000,2675.673332
-267.906637,1000,2717.379962
-201.98931,1000,2759.262752
-283.624843,1000,2801.796719
-204.708373,1000,2845.439476
-170.335413,1000,2889.202082
-191.301779,1000,2934.491725
-208.35723,1000,2977.676371
-383.471777,1000,3019.913752
-241.358189,1000,3059.869328
-343.631043,1000,3102.038907
-193.025991,1000,3143.999301
-242.066146,1000,3186.207006
-351.70847,1000,3227.676094
-203.679306,1000,3271.486008
-184.157209,1000,3313.003771
-171.022943,1000,3356.16725
-179.412363,1000,3399.084075
-192.40925,1000,3442.731065
-584.534668,1000,3486.570847
-185.571893,1000,3529.197272
-191.67519,1000,3572.08121
-260.540262,1000,3615.402499
-202.399058,1000,3657.568519
-269.991468,1000,3698.87624
-190.081361,1000,3740.461602
-201.292938,1000,3782.840273
-179.128107,1000,3825.350896
-175.387458,1000,3869.117779
-272.300427,1000,3913.016271
-186.104346,1000,3955.242979
-184.61287,1000,3997.319967
-169.477814,1000,4039.572267
-240.509239,1000,4081.9149
-304.853672,1000,4124.551729
-184.221802,1000,4166.955775
-181.115786,1000,4208.119175
-190.825083,1000,4252.591233
-191.241722,1000,4295.745326
-233.82738,1000,4339.901161
-249.181507,1000,4384.009928
-198.90608,1000,4425.286318
-190.472684,1000,4468.432005
-249.206897,1000,4512.418896
-173.395171,1000,4556.259323
-486.08015,1000,4599.910266
-235.179813,1000,4642.586497
-545.14264,1000,4685.413131
-378.918389,1000,4727.736597
-149.334907,1000,4771.136891
-205.672918,1000,4814.953893
-211.924388,1000,4859.227207
-262.812594,1000,4899.082336
-185.115478,1000,4939.570588
-407.020992,1000,4981.798406
-199.673782,1000,5023.393675
-166.792242,1000,5066.685439
-185.933254,1000,5108.852635
-451.993283,1000,5151.516436
