#{"t_start": 1785346454.560411, "env_id": "UR10E-pgp-v0"}
r,l,t
-1442.355611,1000,46.732396
-263.282434,1000,87.267335
-285.951128,1000,127.935959
-218.688128,1000,169.233271
-365.910832,1000,210.421061
-259.429968,1000,251.52846
-210.178491,1000,292.050236
-254.402258,1000,332.721056
-313.581857,1000,373.106016
-742.392675,1000,413.525527
-250.422343,1000,454.135813
-467.801621,1000,494.805384
-295.829199,1000,536.210037
-223.422953,1000,577.970687
-259.792563,1000,618.711441
-428.502135,1000,659.322818
-239.617408,1000,701.495187
-394.060341,1000,742.764512
-266.747937,1000,783.666507
-369.940311,1000,823.466865
-460.95399,1000,864.479174
-273.814344,1000,904.546254
-219.49178,1000,945.208073
-211.407592,1000,986.209579
-438.609203,1000,1027.711729
-360.455875,1000,1068.959224
-461.287231,1000,1110.974084
-461.552273,1000,1153.10769
-259.085669,1000,1194.65959
-214.385092,1000,1235.194598
-232.904225,1000,1275.805697
-188.794259,1000,1317.585303
-549.173839,1000,1357.60176
-251.963406,1000,1399.552075
-214.685649,1000,1440.22602
-182.91525,1000,1480.179755
-226.061005,1000,1519.222737
-205.767784,1000,1560.605031
-268.046652,1000,1601.216555
-191.68575,1000,1643.07634
-359.944055,1000,1683.706309
-277.594246,1000,1725.614532
-206.221366,1000,1767.493739
-234.065727,1000,1809.149612
-254.544703,1000,1850.693171
-224.860046,1000,1889.312616
-203.906779,1000,1928.325388
-708.151968,1000,1968.101412
-193.954578,1000,2009.160315
-216.502474,1000,2050.121401
-278.147909,1000,2091.365828
-462.806347,1000,2132.46038
-223.503807,1000,2174.565815
-236.716353,1000,2217.087627
-529.742701,1000,2258.074128
-201.590472,1000,2296.435293
-313.242704,1000,2337.389339
-224.314611,1000,2378.203304
-283.254824,1000,2419.087047
-274.74657,1000,2459.29508
-189.660927,1000,2501.256471
-244.800114,1000,2544.455108
-196.239146,1000,2586.585743
-177.77863,1000,2628.899352
-174.207619,1000,2671.404539
-283.155375,1000,2713.110533
-436.246998,1000,2754.993155
-207.205148,1000,2797.526995
-177.985833,1000,2841.169785
-230.253301,1000,2884.933294
-216.511051,1000,2930.222784
-185.402393,1000,2973.406851
-194.276251,1000,3015.644214
-245.119267,1000,3055.599396
-220.665879,1000,3097.769933
-228.180759,1000,3139.729986
-184.433041,1000,3181.938194
-424.020257,1000,3223.407084
-245.577326,1000,3267.216346
-186.224421,1000,3308.734433
-179.885726,1000,3351.897721
-238.241255,1000,3394.814541
-323.135271,1000,3438.461508
-170.259854,1000,3482.301944
-207.459348,1000,3524.927844
-138.703143,1000,3567.812368
-191.257263,1000,3611.133332
-204.507328,1000,3653.300114
-184.151517,1000,3694.606956
-187.80996,1000,3736.192416
-224.489536,1000,3778.570587
-310.865443,1000,3821.08167
-221.299428,1000,3864.848994
-144.531373,1000,3908.747336
-208.63515,1000,3950.974562
-173.527515,1000,3993.050586
-237.053733,1000,4035.302713
-202.781234,1000,4077.646083
-183.875347,1000,4120.28293
-236.201283,1000,4162.685939
-204.070806,1000,4203.849715
-277.30762,1000,4248.32277
-201.400741,1000,4291.475418
-265.261605,1000,4335.631923
-185.063936,1000,4379.740833
-301.394592,1000,4421.016789
-209.268363,1000,4464.1629
-432.341221,1000,4508.149262
-184.319668,1000,4551.989772
-227.293904,1000,4595.641851
-236.801761,1000,4638.317036
-422.51011,1000,4681.144078
-184.99822,1000,4723.467446
-176.324539,1000,4766.867352
-195.528148,1000,4810.685714
-215.253163,1000,4854.958413
-182.667981,1000,4894.812897
-219.778972,1000,4935.301004
-167.706235,1000,4977.528504
-244.689307,1000,5019.124615
-190.254692,1000,5062.415713
-188.259687,1000,5104.583449
-147.928464,1000,5147.247161
