#{"t_start": 1785346449.5355537, "env_id": "UR10E-pgp-v0"}
r,l,t
-503.951376,1000,51.743732
-562.968875,1000,92.283949
-281.177326,1000,132.952152
-257.029729,1000,174.248302
-473.6958,1000,215.437618
-174.395237,1000,256.544529
-198.283933,1000,297.066275
-351.620744,1000,337.737041
-230.451224,1000,378.122284
-291.31979,1000,418.54088
-208.783697,1000,459.152248
-284.125364,1000,499.817574
-245.00033,1000,541.226034
-228.942266,1000,582.987473
-201.878852,1000,623.728368
-279.084117,1000,664.339208
-692.863734,1000,706.510025
-197.219036,1000,747.78091
-571.419919,1000,788.683171
-412.508586,1000,828.479113
-312.029838,1000,869.493397
-195.285825,1000,909.562618
-191.318649,1000,950.224659
-257.422959,1000,991.226048
-411.463821,1000,1032.728138
-409.794312,1000,1073.975868
-273.143269,1000,1115.990393
-272.731894,1000,1158.123772
-191.364685,1000,1199.676219
-198.834601,1000,1240.21081
-206.039669,1000,1280.822324
-356.237438,1000,1322.601818
-215.563632,1000,1362.617862
-198.137158,1000,1404.568451
-271.941173,1000,1445.243026
-459.515191,1000,1485.196127
-186.984488,1000,1524.238379
-253.9519,1000,1565.621083
-295.988956,1000,1606.232833
-221.770372,1000,1648.092442
-194.80074,1000,1688.722501
-194.973384,1000,1730.630651
-1111.616813,1000,1772.510223
-207.398187,1000,1814.165671
-201.640316,1000,1855.709577
-459.776987,1000,1894.329174
-436.767947,1000,1933.342091
-445.368212,1000,1973.117226
-233.260296,1000,2014.176622
-449.296298,1000,2055.136196
-194.31205,1000,2096.382062
-272.563396,1000,2137.476753
-211.10832,1000,2179.581941
-184.996623,1000,2222.103703
-197.276041,1000,2263.08933
-281.875794,1000,2301.451299
-146.050052,1000,2342.405602
-297.875826,1000,2383.219683
-241.672699,1000,2424.103074
-262.834277,1000,2464.31103
-216.540648,1000,2506.273358
-256.126813,1000,2549.471316
-184.430372,1000,2591.601314
-254.981515,1000,2633.915189
-396.406907,1000,2676.41973
-231.715815,1000,2718.12648
-219.92417,1000,2760.009429
-183.779154,1000,2802.543457
-423.001698,1000,2846.185398
-238.457754,1000,2889.948858
-245.782141,1000,2935.237269
-205.466194,1000,2978.422993
-234.629153,1000,3020.660284
-201.007724,1000,3060.616226
-573.030998,1000,3102.785129
-203.05864,1000,3144.745787
-640.825248,1000,3186.953331
-211.239549,1000,3228.422735
-179.52033,1000,3272.23227
-209.449548,1000,3313.750327
-605.954458,1000,3356.913984
-222.302552,1000,3399.830689
-178.657159,1000,3443.47769
-402.218811,1000,3487.317067
-286.550556,1000,3529.943709
-304.136968,1000,3572.827883
-183.179264,1000,3616.149072
-231.361083,1000,3658.314224
-175.666519,1000,3699.62266
-190.537353,1000,3741.208342
-173.549349,1000,3783.586506
-246.009889,1000,3826.097528
-314.016561,1000,3869.863265
-170.805801,1000,3913.762483
-174.051119,1000,3955.989293
-263.262401,1000,3998.066531
-496.794177,1000,4040.319009
-296.606959,1000,4082.660878
-234.543745,1000,4125.298196
-209.148057,1000,4167.702444
-256.167047,1000,4208.865189
-305.822053,1000,4253.337935
-248.814771,1000,4296.491952
-286.415807,1000,4340.647575
-219.884552,1000,4384.756166
-324.188758,1000,4426.032679
-185.338444,1000,4469.178722
-193.997834,1000,4513.165081
-151.943632,1000,4557.006039
-244.471375,1000,4600.656222
-205.604788,1000,4643.332973
-544.624565,1000,4686.159606
-1427.440261,1000,4728.483251
-184.996992,1000,4771.883012
-172.825566,1000,4815.699775
-180.482261,1000,4859.973677
-197.977863,1000,4899.828846
-189.175677,1000,4940.317053
-175.626062,1000,4982.544853
-197.124554,1000,5024.139296
-168.983523,1000,5067.431724
-206.283964,1000,5109.598888
-177.370139,1000,5152.262594
