#{"t_start": 1784802287.8556292, "env_id": "UR10E-reach-v0"}
r,l,t
-1498.934701,1000,17.558789
-658.718757,1000,105.159072
-609.393161,1000,189.837889
-553.687186,1000,273.474618
-244.043991,1000,355.949534
-641.443163,1000,434.858494
-397.137459,1000,514.517192
-196.371337,1000,595.266511
-221.433108,1000,679.109473
-222.441586,1000,762.526393
-334.806302,1000,845.982538
-133.178746,1000,926.426081
-123.206015,453,962.192592
-332.376033,1000,1043.583106
-71.253815,176,1058.206192
-247.391107,1000,1148.259728
-136.365585,1000,1228.479501
-34.146336,91,1236.902983
-348.711935,1000,1320.437236
-251.60209,299,1344.777845
-85.318814,140,1356.436785
-231.96854,290,1379.882642
-200.769862,276,1403.429149
-158.377796,308,1428.471754
-163.546624,222,1446.604093
-168.452219,264,1467.816282
-189.795261,240,1487.594622
-14.417259,69,1492.983315
-188.521806,669,1547.200404
-357.754143,448,1583.942536
-195.464063,1000,1664.703404
-109.099673,210,1683.443461
-225.038259,293,1706.422868
-88.208615,176,1721.411298
-80.820803,172,1735.732472
-35.97277,127,1745.837554
-54.980098,428,1780.341987
-167.006706,224,1798.314069
-248.730866,528,1841.656245
-180.633249,234,1860.534391
-117.480605,966,1937.742572
-70.991719,129,1947.995567
-84.548974,609,1998.160022
-30.876424,88,2005.127578
-28.524841,78,2011.271551
-123.507492,182,2025.625909
-185.663319,401,2057.255509
-167.17307,232,2074.658781
-172.619088,236,2092.472353
-274.069644,1000,2169.950268
-27.411427,79,2176.210719
-67.183268,173,2189.906498
-119.223249,176,2203.751734
-12.932598,55,2208.101055
-21.309221,77,2214.18523
-87.223466,179,2228.296119
-77.796181,155,2240.569318
-261.339748,1000,2319.715605
-182.514633,231,2338.155849
-52.257559,185,2352.896982
-135.887009,196,2368.415059
-189.306749,251,2388.328482
-102.710114,1000,2467.078909
-17.078948,75,2473.085714
-153.026688,212,2490.218983
-233.258895,286,2513.369226
-15.102021,70,2518.62444
-76.24144,156,2531.894599
-167.723856,239,2550.874267
-82.042044,166,2563.838818
-97.97711,185,2578.235666
-112.442168,197,2593.154745
-121.710757,191,2608.185879
-203.736814,963,2681.327547
-160.913901,231,2698.684172
-22.319638,80,2705.476413
-22.508916,77,2711.19748
-253.947499,998,2787.376287
-33.353347,95,2794.622824
-97.897415,164,2807.15274
-30.785097,98,2814.943191
-50.075121,147,2825.964702
-15.444164,67,2831.039085
-50.045623,125,2840.340895
-191.267341,288,2862.788213
-75.018474,165,2875.292043
-22.255755,78,2881.152733
-21.009363,76,2886.886394
-207.018984,252,2906.026243
-87.219634,162,2918.41559
-48.74638,101,2926.022634
-169.981725,223,2942.543252
-41.672997,111,2950.696432
-44.534039,132,2960.602802
-27.616461,79,2966.691823
-105.900484,165,2982.508389
-142.160575,199,2998.210106
-177.861492,264,3018.336343
-161.327672,212,3033.691697
-56.087585,105,3042.355928
-61.557912,117,3051.14019
