#{"t_start": 1785346449.6340492, "env_id": "UR10E-pgp-v0"}
r,l,t
-556.989214,1000,51.646502
-344.486852,1000,92.18613
-297.618591,1000,132.854289
-304.330955,1000,174.150638
-321.339465,1000,215.339819
-260.99057,1000,256.446782
-216.388948,1000,296.968485
-203.886631,1000,337.639295
-293.501037,1000,378.024417
-261.986607,1000,418.443089
-242.699579,1000,459.05438
-237.101192,1000,499.720973
-185.040213,1000,541.128371
-425.125711,1000,582.889708
-284.442835,1000,623.630552
-318.891701,1000,664.241412
-233.224101,1000,706.412309
-427.520377,1000,747.683374
-246.427838,1000,788.585313
-283.723919,1000,828.381522
-218.179267,1000,869.395823
-355.491079,1000,909.464764
-437.213694,1000,950.126821
-257.988043,1000,991.128212
-331.866135,1000,1032.630278
-329.639106,1000,1073.877998
-273.121745,1000,1115.892542
-407.856038,1000,1158.025977
-237.845282,1000,1199.578363
-330.898011,1000,1240.11314
-333.010383,1000,1280.724459
-226.257856,1000,1322.504234
-221.806176,1000,1362.520216
-221.488135,1000,1404.470592
-341.670161,1000,1445.145184
-219.316341,1000,1485.098441
-215.193229,1000,1524.140591
-205.658071,1000,1565.523289
-251.111267,1000,1606.134989
-337.700071,1000,1647.994575
-214.651281,1000,1688.624747
-225.076579,1000,1730.532822
-191.471173,1000,1772.412469
-253.868136,1000,1814.067858
-385.504533,1000,1855.611738
-247.834211,1000,1894.23133
-510.938961,1000,1933.244239
-304.728107,1000,1973.019412
-208.761083,1000,2014.078794
-212.079981,1000,2055.038476
-175.19078,1000,2096.284346
-225.636721,1000,2137.379022
-186.348021,1000,2179.484383
-217.885107,1000,2222.00589
-200.113851,1000,2262.991495
-710.76579,1000,2301.353451
-211.315881,1000,2342.307857
-193.930516,1000,2383.121831
-288.236891,1000,2424.005214
-188.299103,1000,2464.213231
-204.017079,1000,2506.17552
-212.289344,1000,2549.373518
-465.92432,1000,2591.503463
-295.88911,1000,2633.817436
-268.074903,1000,2676.32197
-183.021239,1000,2718.028697
-199.985816,1000,2759.911663
-269.937978,1000,2802.44561
-183.373578,1000,2846.087837
-192.496653,1000,2889.85101
-186.501583,1000,2935.139779
-213.09613,1000,2978.325185
-539.413999,1000,3020.562513
-450.075612,1000,3060.51843
-138.030812,1000,3102.687817
-175.088578,1000,3144.648012
-238.752482,1000,3186.855538
-207.227119,1000,3228.3249
-293.509266,1000,3272.134814
-239.370975,1000,3313.652548
-181.29047,1000,3356.816192
-178.700417,1000,3399.732892
-178.43186,1000,3443.379966
-181.260537,1000,3487.219416
-179.065494,1000,3529.846054
-197.815472,1000,3572.730078
-245.868472,1000,3616.051284
-214.56439,1000,3658.216631
-186.840745,1000,3699.524933
-336.232975,1000,3741.110532
-145.903642,1000,3783.489098
-326.106818,1000,3825.999676
-209.823526,1000,3869.766035
-209.753857,1000,3913.66469
-208.325271,1000,3955.89155
-296.253191,1000,3997.968689
-189.452075,1000,4040.221171
-370.706953,1000,4082.563197
-193.056966,1000,4125.20046
-246.19597,1000,4167.604628
-188.407643,1000,4208.76758
-233.358969,1000,4253.240108
-183.849072,1000,4296.394167
-257.426345,1000,4340.549756
-130.010937,1000,4384.658721
-188.387341,1000,4425.934923
-256.199124,1000,4469.080856
-199.685229,1000,4513.067332
-331.219005,1000,4556.908214
-204.065755,1000,4600.558696
-201.092487,1000,4643.235242
-178.356303,1000,4686.061834
-152.756109,1000,4728.385542
-322.999521,1000,4771.785248
-186.235047,1000,4815.602047
-126.880037,1000,4859.876185
-246.579913,1000,4899.731028
-235.238494,1000,4940.21946
-190.94569,1000,4982.447066
-201.623149,1000,5024.041713
-204.529734,1000,5067.334277
-171.916072,1000,5109.501192
-211.346093,1000,5152.164899
