#{"t_start": 1784802287.224391, "env_id": "UR10E-reach-v0"}
r,l,t
-993.835898,1000,18.185861
-823.131818,1000,105.786087
-539.397793,1000,190.465056
-330.878644,1000,274.101549
-307.95456,1000,356.577368
-693.083916,1000,435.486142
-339.909048,1000,515.144998
-520.897667,1000,595.894011
-439.386328,1000,679.737877
-172.763277,243,699.304762
-271.420705,1000,783.273841
-363.332575,1000,866.387952
-231.007753,1000,946.137308
-191.214993,354,974.517039
-315.60373,1000,1056.220809
-74.322863,194,1072.789946
-316.564865,1000,1162.152456
-30.25697,88,1168.925773
-110.386531,820,1235.806807
-205.225904,255,1258.189833
-191.384519,267,1280.389332
-361.800295,1000,1361.944438
-283.959946,1000,1444.678963
-219.069141,286,1467.446734
-101.307031,194,1483.454719
-243.254842,462,1521.800969
-40.240274,92,1528.909322
-168.703405,275,1550.358328
-258.675527,496,1590.842985
-54.443252,126,1600.876141
-29.59125,94,1608.265215
-245.864089,282,1630.633311
-141.935749,197,1646.336679
-65.408662,156,1659.553006
-62.023742,174,1675.106567
-296.473254,1000,1757.661322
-109.624642,213,1774.59281
-107.607529,738,1834.546703
-152.856752,207,1850.896235
-35.711831,97,1858.684779
-150.852411,1000,1938.908208
-30.219626,84,1945.556831
-177.443539,241,1965.900793
-174.967856,226,1984.50547
-126.308149,176,1998.472785
-84.26421,181,2012.753755
-159.920169,293,2036.02311
-143.232113,233,2054.578729
-73.456562,238,2072.256266
-114.890708,179,2085.746634
-278.689157,1000,2162.918427
-37.376792,134,2173.504025
-20.435582,91,2180.73743
-45.79379,131,2191.09692
-57.044457,115,2200.135002
-186.123394,242,2219.236136
-162.772681,220,2236.585871
-47.191986,134,2247.231447
-137.936511,192,2262.41587
-72.417149,171,2275.922729
-243.992403,292,2299.052673
-94.893729,417,2332.029535
-191.933166,250,2352.109195
-90.107881,715,2408.610308
-17.45288,62,2413.512957
-19.426995,61,2418.358851
-86.821261,173,2432.013993
-58.019965,189,2446.908826
-29.391662,90,2453.855896
-235.777418,269,2475.213175
-188.064348,248,2495.182292
-263.984793,794,2559.22781
-218.097011,295,2582.02629
-23.960911,77,2587.923893
-137.87126,198,2603.275036
-103.374511,161,2615.905439
-16.555913,58,2620.469462
-212.093087,259,2640.21855
-110.27962,173,2653.167063
-34.866564,101,2660.711653
-195.016963,257,2680.145893
-27.530561,83,2686.266515
-315.984776,1000,2762.346652
-54.623165,118,2771.602696
-30.845669,83,2778.197732
-227.948221,954,2851.338045
-191.677178,244,2869.962282
-37.937399,172,2882.92031
-34.979891,99,2890.398207
-56.35714,128,2900.171338
-73.890238,153,2911.82625
-179.804599,237,2929.713346
-42.126835,105,2937.581046
-33.805351,84,2943.821548
-30.002514,85,2950.028898
-108.545194,174,2963.067904
-121.020028,183,2980.3281
-137.588894,182,2994.652256
-191.515188,244,3013.282501
-188.501458,263,3032.645967
-181.343708,254,3052.426461
-41.644223,170,3065.303216
