#{"t_start": 1785346454.0072968, "env_id": "UR10E-pgp-v0"}
r,l,t
-658.308541,1000,47.284368
-344.78509,1000,87.819773
-283.261791,1000,128.488184
-597.319182,1000,169.785708
-238.57115,1000,210.973483
-243.110026,1000,252.080906
-234.807165,1000,292.602696
-534.632449,1000,333.272877
-249.320243,1000,373.6585
-452.830041,1000,414.077976
-245.728484,1000,454.688262
-412.702248,1000,495.357726
-262.283536,1000,536.762378
-234.191303,1000,578.523156
-222.611489,1000,619.263872
-298.317746,1000,659.875276
-191.861091,1000,702.047558
-448.524321,1000,743.316936
-474.998974,1000,784.218923
-224.585951,1000,824.018777
-385.995333,1000,865.031492
-282.46273,1000,905.098709
-259.495909,1000,945.760524
-277.375144,1000,986.762065
-500.753578,1000,1028.264165
-468.399325,1000,1069.511609
-229.799058,1000,1111.526539
-307.710753,1000,1153.660092
-219.954413,1000,1195.212004
-340.308729,1000,1235.747052
-683.749374,1000,1276.358172
-300.711711,1000,1318.137666
-263.276355,1000,1358.154186
-233.548968,1000,1400.104375
-352.101497,1000,1440.77849
-260.848398,1000,1480.73222
-220.550712,1000,1519.775112
-201.658998,1000,1561.157508
-304.428786,1000,1601.768957
-263.963705,1000,1643.628808
-189.79272,1000,1684.258665
-601.287934,1000,1726.166864
-262.301921,1000,1768.046213
-189.199527,1000,1809.702044
-192.687947,1000,1851.245516
-181.601377,1000,1889.865088
-186.878335,1000,1928.877757
-251.697863,1000,1968.653824
-328.504983,1000,2009.712752
-500.996907,1000,2050.673745
-329.008101,1000,2091.918238
-362.463644,1000,2133.012814
-196.582197,1000,2175.118243
-322.128396,1000,2217.640064
-192.685579,1000,2258.626563
-203.763932,1000,2296.987756
-204.636527,1000,2337.941539
-185.386252,1000,2378.755777
-414.763067,1000,2419.63951
-189.075069,1000,2459.847471
-189.430389,1000,2501.808954
-282.004503,1000,2545.007575
-299.676122,1000,2587.137893
-233.494733,1000,2629.451656
-210.691185,1000,2671.957005
-245.763743,1000,2713.662931
-265.092793,1000,2755.545609
-226.632733,1000,2798.079434
-454.079024,1000,2841.722128
-223.333511,1000,2885.485703
-259.241385,1000,2930.775131
-209.110677,1000,2973.959287
-218.275694,1000,3016.196451
-490.005079,1000,3056.151839
-212.837809,1000,3098.322381
-152.599469,1000,3140.282437
-207.895264,1000,3182.490588
-180.206367,1000,3223.959333
-173.953242,1000,3267.76881
-246.85141,1000,3309.286725
-169.223991,1000,3352.450114
-183.680165,1000,3395.367003
-460.032753,1000,3439.01386
-178.836666,1000,3482.854262
-191.030124,1000,3525.480155
-183.824885,1000,3568.364404
-221.566538,1000,3611.685421
-201.193184,1000,3653.852527
-181.714163,1000,3695.159369
-186.87074,1000,3736.744659
-360.743986,1000,3779.123005
-548.676177,1000,3821.634126
-192.627137,1000,3865.401292
-126.883081,1000,3909.299668
-222.640975,1000,3951.526864
-343.180939,1000,3993.60291
-174.16269,1000,4035.855171
-184.830631,1000,4078.198396
-184.825388,1000,4120.835288
-256.608747,1000,4163.238344
-299.649231,1000,4204.402123
-196.294637,1000,4248.875177
-253.454696,1000,4292.027885
-346.511499,1000,4336.184315
-223.108904,1000,4380.293143
-226.225681,1000,4421.569192
-280.129401,1000,4464.715262
-189.376552,1000,4508.701714
-182.140304,1000,4552.542217
-185.091619,1000,4596.194292
-268.795666,1000,4638.869467
-408.564807,1000,4681.696396
-190.272098,1000,4724.019773
-180.891682,1000,4767.419809
-233.793979,1000,4811.238135
-197.814774,1000,4855.510443
-206.972246,1000,4895.364982
-185.875647,1000,4935.853285
-192.481414,1000,4978.080918
-175.310746,1000,5019.676827
-199.655996,1000,5062.968179
-174.205094,1000,5105.135679
-232.19144,1000,5147.799253
