#{"t_start": 1784715368.3562846, "env_id": "UR10E-reach-v0"}
r,l,t
-956.724837,1000,20.20523
-1767.6336,1000,72.058125
-1530.974801,1000,128.452495
-685.795647,1000,184.180028
-1669.293951,1000,241.905786
-1619.978455,1000,299.060946
-1137.148252,1000,350.223501
-1198.568467,1000,401.484546
-1022.065586,1000,458.732219
-1181.615929,1000,517.09257
-902.921067,1000,575.412802
-956.854264,1000,633.68906
-778.430792,1000,691.900892
-920.862312,1000,750.104387
-640.930729,1000,808.101147
-943.960184,1000,865.754796
-518.139575,1000,923.439959
-813.887955,1000,981.449928
-976.99734,1000,1038.807614
-628.798449,1000,1091.4752
-866.86601,1000,1143.416738
-495.345271,1000,1196.144799
-654.598967,1000,1247.763535
-951.825326,1000,1299.479099
-326.097545,1000,1352.690276
-692.308985,1000,1409.684541
-653.315632,1000,1466.598181
-37.178783,109,1468.484876
-553.533302,1000,1525.572947
-878.692906,1000,1578.047558
-355.705146,1000,1630.537183
-569.688421,1000,1682.662074
-64.032496,138,1684.970879
-589.075357,1000,1741.730348
-700.940796,1000,1793.961653
-331.061738,1000,1845.34334
-698.427987,1000,1897.583908
-505.370194,1000,1948.733385
-419.434087,1000,2003.792934
-656.659685,1000,2060.75054
-492.014697,1000,2117.624365
-420.494322,1000,2174.513758
-301.342017,1000,2231.58905
-778.705525,1000,2288.498164
-212.630342,1000,2345.351256
-477.406991,1000,2402.121338
-385.24065,1000,2454.343205
-322.258872,1000,2505.320503
-462.384443,1000,2556.951663
-318.961968,1000,2609.59035
-120.865414,411,2615.841141
-317.588188,1000,2667.449512
-424.979636,1000,2718.454722
-438.92591,1000,2769.905444
-51.996515,162,2772.412694
-278.267193,1000,2825.607692
-219.365652,1000,2877.476718
-46.106188,139,2879.60202
-267.934162,743,2925.854368
-365.787998,1000,2978.706384
-238.718762,941,3030.516093
-51.463943,197,3033.630689
-207.948276,890,3084.663066
-264.889573,759,3134.176779
-275.795446,1000,3187.088444
-43.464287,254,3191.083394
-226.775826,1000,3243.479201
-241.831487,1000,3294.711842
-703.939448,1000,3345.953005
-103.140605,390,3351.866178
-102.147761,528,3395.94621
-73.023087,356,3401.344836
-196.429882,1000,3453.806584
-157.422126,529,3500.158896
-327.849518,1000,3515.881084
-332.158544,988,3569.298635
-340.801172,1000,3623.103908
-36.717974,156,3663.622519
-142.328381,340,3668.986361
-141.864399,408,3675.389826
-207.21173,523,3720.869551
-191.092207,1000,3772.727081
-39.884249,157,3775.116564
-155.237963,267,3779.150611
-329.161934,1000,3830.384074
-329.492132,1000,3881.526502
-56.133809,161,3883.973221
-65.576899,166,3886.476591
-37.721495,185,3925.28002
-134.606994,491,3932.697046
-114.78969,233,3936.228838
-377.528528,1000,3987.414445
-463.219367,1000,4038.633312
-197.83603,308,4080.398658
-200.972682,1000,4134.17718
-88.661422,212,4137.511698
-290.74119,851,4188.891648
-31.014081,90,4190.300164
-101.756472,199,4193.455451
-311.305581,1000,4247.161191
-88.725722,442,4254.045698
-369.89733,1000,4307.837134
-146.412417,937,4360.869945
-268.124543,403,4405.216328
-102.004019,332,4410.436259
-43.877389,122,4412.356555
-135.207516,520,4458.470314
-163.974169,1000,4512.066048
-254.678571,370,4517.798442
-337.903972,1000,4571.120417
-45.003968,193,4574.049576
-114.48965,563,4619.832184
-186.833485,477,4627.032239
-38.184004,230,4630.462036
-224.401071,1000,4681.903313
-83.789776,229,4721.475596
-409.403568,1000,4736.620296
-231.083321,1000,4787.847286
-36.804598,223,4827.282286
-316.367158,1000,4878.525022
-301.633661,1000,4929.702158
-316.57566,1000,4980.804585
-97.759621,633,4990.417588
-275.071499,1000,5041.597321
-225.797813,403,5083.797315
-270.689202,1000,5134.900939
-76.350582,521,5142.773488
-242.655663,348,5148.051142
-231.558622,480,5191.354106
-38.688089,96,5192.818721
-107.972516,387,5198.685448
-148.42195,749,5246.209847
-132.413487,394,5252.181101
-180.768842,300,5292.838122
-261.585558,1000,5344.05605
-57.701646,406,5350.224452
-360.240949,1000,5401.45635
-89.80418,342,5406.640733
-199.629455,1000,5457.818096
-63.754146,428,5503.205891
-295.507858,454,5510.944176
-211.654712,443,5557.177468
-254.94321,1000,5613.584106
-27.848171,87,5615.081944
-21.282226,73,5616.31674
-107.5502,284,5621.140788
-71.474695,207,5624.94776
-213.593273,314,5668.255469
-152.341882,377,5674.536347
-160.072147,388,5680.985843
-220.556915,1000,5734.224858
-12.722452,68,5735.360321
-294.911325,389,5778.813087
-189.495887,342,5784.475273
-200.369972,346,5790.377615
-110.633345,718,5838.598398
-105.984782,396,5883.861052
-69.269385,304,5888.918494
-297.456687,545,5898.355932
-192.640344,366,5943.751593
-201.662896,363,5949.974226
-191.344806,324,5955.598636
-299.352906,1000,6012.374118
-64.597505,184,6054.899068
-221.997217,390,6061.530286
-226.578678,552,6110.963103
