#{"t_start": 1784715370.0597222, "env_id": "UR10E-reach-v0"}
r,l,t
-1597.09327,1000,18.513375
-1752.694983,1000,70.365726
-907.648261,1000,126.760314
-956.047509,1000,182.48819
-1231.552698,1000,240.213582
-1458.340879,1000,297.368131
-638.383276,1000,348.530626
-1136.732163,1000,399.793351
-993.659987,1000,457.04077
-742.762464,1000,515.401424
-1035.12826,1000,573.720886
-840.713147,1000,631.997876
-1009.217856,1000,690.212236
-667.032813,1000,748.411885
-772.449439,1000,806.40858
-794.940185,1000,864.062139
-561.403755,1000,921.747734
-388.042102,1000,979.757556
-884.599624,1000,1037.11429
-563.19258,1000,1089.782757
-714.033026,1000,1141.724103
-866.864053,1000,1194.452211
-673.953074,1000,1246.07039
-723.532233,1000,1297.785901
-903.134027,1000,1350.99901
-649.348982,1000,1407.990724
-477.239745,1000,1464.905547
-548.403641,1000,1521.979057
-596.893638,1000,1574.656769
-352.165598,1000,1627.027406
-466.029047,1000,1679.044032
-818.047715,1000,1736.157667
-570.786875,1000,1788.333867
-532.514055,1000,1839.948721
-688.278303,1000,1892.146313
-624.369875,1000,1943.223957
-600.146409,1000,1997.929091
-541.821555,1000,2054.917295
-304.034079,1000,2111.758399
-459.941301,1000,2168.69467
-518.561912,1000,2225.81898
-343.953623,1000,2282.720556
-453.667741,1000,2299.683226
-444.117441,1000,2356.687817
-197.370848,753,2409.155489
-298.122189,1000,2460.374863
-413.797899,1000,2511.52939
-493.430984,1000,2563.311052
-403.927391,1000,2615.57944
-400.535344,1000,2667.191394
-400.377764,1000,2718.257749
-137.516132,506,2761.944695
-277.060286,375,2767.833596
-388.93515,1000,2820.959485
-217.847401,1000,2872.956093
-193.412545,350,2878.287731
-213.06844,1000,2928.655873
-411.47077,1000,2981.436641
-553.746916,1000,3034.177687
-281.153411,893,3085.279606
-257.271317,1000,3138.613314
-231.527356,1000,3191.504122
-187.725799,1000,3243.813854
-138.283069,355,3249.198392
-154.817676,772,3296.954837
-341.29542,638,3342.727407
-384.147586,1000,3393.963121
-415.802037,1000,3446.259734
-153.244797,504,3454.139739
-26.844134,85,3455.468879
-345.274845,1000,3509.253889
-534.23168,1000,3562.827274
-41.53804,130,3564.879624
-104.096005,521,3611.054035
-117.161791,659,3621.515976
-165.764149,253,3663.552795
-332.29842,1000,3716.619004
-383.562688,1000,3768.498627
-146.067917,248,3772.261687
-75.815058,424,3778.677243
-252.06779,1000,3829.913823
-206.74841,291,3870.324326
-306.2935,496,3877.838052
-252.027819,1000,3928.964568
-149.304652,248,3932.707661
-208.955846,484,3976.055563
-427.107414,1000,4027.270439
-202.347873,1000,4079.579005
-211.620153,315,4084.493706
-146.162221,426,4091.195165
-399.561758,1000,4145.004447
-395.7118,1000,4198.743175
-311.165276,604,4246.217882
-57.926312,162,4248.721384
-268.562928,527,4295.030217
-313.193871,1000,4349.059722
-137.628738,544,4357.648001
-215.291037,508,4403.64922
-79.964873,247,4407.524889
-178.204066,538,4415.968739
-439.26866,1000,4469.623122
-102.925261,461,4514.689779
-256.239091,409,4521.080991
-34.332687,149,4523.410769
-268.710801,1000,4576.642267
-243.572252,640,4623.477522
-94.66733,249,4627.180319
-221.548649,310,4668.149315
-151.149676,230,4671.608468
-268.131453,1000,4722.850727
-164.652371,239,4726.475281
-176.019534,240,4730.108042
-86.876601,187,4732.96068
-279.999069,1000,4784.187896
-58.804777,153,4786.508807
-377.683173,1000,4837.750934
-28.703181,155,4876.161971
-211.981141,273,4880.312288
-84.97825,170,4882.917275
-146.228335,571,4927.549466
-489.352972,1000,4978.651676
-369.392842,1000,5029.822881
-242.443257,1000,5081.103102
-90.361639,461,5088.08526
-291.721128,903,5137.702677
-58.26753,116,5139.453059
-128.985774,251,5143.265623
-219.575632,332,5184.327875
-214.243366,335,5189.398177
-133.672309,280,5193.650708
-155.778614,253,5197.486675
-57.651637,201,5236.696573
-174.657482,315,5241.478543
-577.124963,1000,5292.757743
-226.331744,1000,5343.966238
-211.125772,328,5348.952921
-231.604665,416,5391.314644
-93.789113,231,5394.819169
-89.277037,229,5398.294754
-50.573478,126,5400.21665
-110.566672,252,5404.028111
-405.566781,1000,5455.212238
-268.478162,1000,5510.202924
-201.447546,1000,5565.94912
-183.340305,890,5620.403756
-168.605104,668,5669.902442
-333.133237,1000,5722.909347
-90.685745,389,5729.489884
-67.924634,201,5733.040201
-135.817698,265,5774.476683
-57.076965,195,5777.73082
-302.885462,937,5829.365969
-27.972458,217,5833.163817
-181.297628,518,5842.036722
-125.019062,206,5883.993501
-188.470789,291,5888.881541
-242.611818,597,5938.480335
-360.961358,1000,5995.028203
-80.715556,197,5998.261763
-166.902709,737,6011.242965
-270.78592,1000,6067.897161
-144.531395,476,6115.560958
-79.314646,255,6119.966554
-204.985198,313,6125.489109
-330.43038,1000,6182.07733
-181.666913,260,6226.375137
-29.301564,178,6229.482999
-245.60351,744,6281.689337
-232.061187,710,6293.743657
-249.123763,1000,6350.331737
-238.922984,1000,6406.722601
-466.488161,1000,6463.165176
-91.968541,219,6467.015463
-201.12939,610,6516.563947
-363.926796,1000,6572.940194
-169.096802,422,6580.214934
-56.218736,133,6621.498291
-58.780253,166,6624.338507
-42.528945,109,6626.10983
-735.457686,1000,6678.540657
-129.409718,826,6728.567288
-102.839854,179,6731.444355
-65.12594,201,6734.83748
-219.124961,524,6743.67986
-407.001873,740,6793.836552
-201.46579,1000,6849.365381
-23.232874,170,6852.207328
-63.233366,176,6855.130088
-372.509179,1000,6912.308218
-114.820907,462,6960.037758
-49.796951,154,6962.77952
-202.797039,590,7010.156998
-235.848516,517,7019.0581
-275.262888,352,7025.525051
-65.331001,179,7066.410982
-102.673378,506,7075.184681
-85.756112,503,7123.722993
-353.179864,1000,7178.304916
-332.81118,504,7186.670203
-26.361309,105,7188.413693
-226.617151,359,7231.202015
-43.393078,141,7233.332963
-53.370109,195,7236.268181
-211.613644,1000,7288.878055
-44.894498,135,7291.000103
-288.810728,623,7336.63745
-325.052286,868,7350.033008
-301.021484,1000,7400.780534
-199.270004,496,7443.748471
-195.774312,921,7492.899441
-422.210442,1000,7545.165465
-237.72197,361,7550.83755
-96.202447,340,7556.069788
-498.425179,1000,7606.667724
-356.171825,1000,7657.169729
-20.85605,90,7694.582234
-211.594566,256,7698.524234
-36.295163,203,7701.727323
-34.351816,133,7703.881966
-334.360003,1000,7755.31255
-39.16423,108,7757.026089
-242.837344,344,7798.332241
-63.84993,187,7801.173157
-175.421086,256,7805.192335
-226.161016,324,7810.310087
-167.89041,371,7851.763844
-27.969123,78,7852.975837
-24.365352,101,7854.54016
-295.993613,841,7903.63301
-197.509524,468,7911.023753
-59.015539,157,7913.753893
-54.505577,125,7915.787453
-57.165562,112,7917.537893
-193.899316,263,7958.010605
-223.159614,1000,8009.446738
-137.825104,213,8012.649999
-228.225402,1000,8064.043346
-129.890322,359,8069.572
-192.053951,1000,8119.91478
-218.045118,588,8165.633669
-57.966967,139,8167.778015
-55.424741,289,8172.308667
-112.16579,410,8215.066313
-111.064561,355,8220.624384
-60.630251,224,8224.094447
-179.574264,300,8228.748443
-92.723508,384,8271.833712
-383.414188,1000,8322.273105
-215.598289,373,8328.093214
-248.371589,612,8373.3965
-82.61505,308,8378.325662
-199.552262,255,8382.378843
-109.398772,246,8422.119448
-211.504119,1000,8473.103127
-60.314028,126,8475.049438
-192.159446,314,8479.893239
-168.978568,408,8486.150788
-189.471776,255,8526.684871
-248.440287,349,8531.970521
-385.911601,1000,8583.019214
-63.866279,206,8586.121434
-187.555469,311,8590.822294
-68.989873,238,8630.262357
-137.486534,599,8639.306876
-193.287506,257,8679.059201
-249.159047,708,8689.744766
-323.616419,1000,8740.731515
-258.942934,342,8781.790103
-66.239011,290,8786.149913
-155.438527,229,8789.612604
-228.237607,349,8794.901415
-72.065437,164,8833.673988
-529.116907,1000,8884.67701
-156.67476,269,8888.708426
-363.027996,1000,8939.664744
-147.155513,697,8950.168142
-286.939654,373,8991.642956
-252.047754,344,8996.809442
-225.314505,1000,9047.758736
-28.013614,122,9049.600519
-219.680261,851,9098.488051
-233.098909,449,9105.490325
-372.446778,1000,9155.986867
-69.510689,167,9193.861535
-119.292739,315,9198.677794
-379.145265,1000,9249.541799
-254.360219,336,9254.573047
-160.394368,254,9258.731862
-134.384305,204,9297.755936
-26.048733,79,9298.986097
-171.239631,225,9302.361266
-86.870574,271,9306.5741
-61.085296,186,9309.509677
-26.627515,77,9346.222703
-312.992167,1000,9361.520649
-30.150341,155,9399.821657
-200.217085,896,9450.080705
-179.271945,279,9454.737135
-164.971886,467,9462.488897
-104.236776,211,9465.907656
-527.727522,1000,9517.647122
-83.015241,283,9557.573246
-96.763107,210,9560.866368
-370.459672,1000,9613.477753
-173.721547,230,9617.090841
-146.165806,220,9620.523692
-22.329143,73,9621.643368
-125.157295,199,9661.192765
-27.608504,79,9662.469957
-434.608723,1000,9715.423625
-65.381151,317,9720.925069
-26.341259,125,9722.872439
-122.04676,245,9726.654737
-47.064927,116,9728.434009
-45.546874,112,9767.157515
-76.165927,424,9773.64001
-404.560097,1000,9825.161429
-156.834156,215,9828.396631
