#{"t_start": 1784802287.4107895, "env_id": "UR10E-reach-v0"}
r,l,t
-1523.272292,1000,18.000842
-1355.101907,1000,105.601189
-773.604639,1000,190.280013
-506.816657,1000,273.916696
-330.92119,1000,356.392194
-688.242984,1000,435.301074
-363.522263,1000,514.95987
-240.339419,883,586.143513
-393.607356,1000,669.270757
-270.035413,1000,751.557387
-112.61919,422,787.688835
-52.219149,136,799.584206
-178.400085,1000,882.210049
-338.527068,1000,961.708819
-366.824393,1000,1043.025986
-273.014076,1000,1132.763552
-219.597468,740,1193.31551
-335.038393,1000,1276.795975
-342.233808,1000,1358.583904
-159.47447,445,1395.150109
-165.829842,226,1414.626241
-236.309434,478,1453.262499
-33.890646,103,1461.635513
-274.040113,932,1537.31008
-31.264282,98,1545.044075
-19.904762,74,1550.705481
-107.896073,716,1608.607182
-173.38006,306,1632.851929
-227.920465,296,1657.380408
-188.486331,287,1682.910744
-46.779117,106,1690.970963
-252.147432,306,1716.19864
-55.289969,111,1725.036117
-51.961019,271,1747.511093
-203.797657,292,1771.0977
-118.174197,177,1785.00198
-247.964075,360,1814.074818
-255.804004,290,1838.07273
-223.157034,291,1861.639761
-57.100981,135,1872.129341
-133.405212,185,1887.14179
-45.015493,118,1896.873738
-178.572209,236,1915.61121
-35.142033,90,1922.750584
-139.759049,959,2000.798523
-211.977092,275,2022.505258
-79.183597,155,2034.876759
-93.88848,156,2047.663341
-213.916534,289,2069.344622
-160.137096,224,2086.058188
-84.719347,157,2097.943977
-187.512141,241,2116.031962
-219.54505,541,2158.4622
-29.919203,101,2166.457718
-281.350655,645,2217.402863
-51.852024,146,2228.897121
-92.485523,180,2243.145386
-131.055795,193,2258.419081
-47.183202,121,2267.966046
-41.626773,99,2275.814979
-129.132743,183,2290.433636
-18.323886,72,2296.039932
-130.360628,182,2310.383783
-230.188687,280,2332.564596
-158.100104,208,2349.356681
-146.714388,192,2364.517058
-38.029162,137,2375.37522
-41.373271,117,2384.675857
-13.287359,63,2389.638582
-95.595694,204,2405.676401
-178.672651,246,2425.157379
-63.652039,182,2439.502761
-73.002523,224,2456.996963
-144.42234,211,2473.763371
-29.064441,89,2480.795946
-37.544853,88,2487.790521
-174.106196,227,2505.895687
-13.409872,62,2511.378337
-32.594217,107,2519.638243
-54.28025,173,2534.221383
-180.167678,238,2553.31113
-160.72782,223,2570.592722
-208.406976,255,2590.066552
-50.500801,136,2600.702456
-168.679092,242,2619.722837
-211.836992,257,2639.429281
-70.607506,123,2648.510192
-41.253665,113,2656.985827
-211.324326,300,2679.668152
-231.479684,357,2707.109496
-41.743239,102,2714.882675
-207.878726,259,2734.237638
-155.084104,209,2749.864987
-193.708387,507,2789.348821
-211.197906,258,2808.95176
-200.510471,256,2828.630578
-85.465812,160,2840.567058
-78.857852,154,2852.741609
-50.564819,126,2862.407325
-187.434614,252,2881.452539
-31.824132,112,2889.846413
-236.221208,293,2912.159762
-211.480408,263,2932.028941
-82.075664,154,2943.449942
-191.885815,252,2962.201171
-330.876096,1000,3042.021219
-184.804459,248,3060.5944
