#{"t_start": 1784552128.2743158, "env_id": "UR10E-pgp-v0"}
r,l,t
-1480.960391,1000,21.765339
-490.915874,1000,77.231357
-351.898169,1000,131.401059
-990.779763,1000,188.480404
-1008.424943,1000,244.877371
-617.24235,1000,301.887224
-417.39643,1000,358.610577
-430.66898,1000,415.989056
-377.053169,1000,473.641242
-487.53298,1000,530.937811
-310.590151,1000,588.401682
-396.048201,1000,645.935955
-335.305893,1000,703.419683
-300.436385,1000,757.798656
-330.087427,1000,814.376856
-294.583545,1000,870.986907
-249.790982,1000,928.075285
-266.811706,1000,985.856618
-321.079468,1000,1042.558036
-255.694006,1000,1100.36457
-293.754655,1000,1158.453563
-266.846809,1000,1216.539924
-233.647914,1000,1274.995768
-280.214101,1000,1333.617764
-272.670925,1000,1387.856564
-344.841246,1000,1444.386595
-267.693933,1000,1502.86024
-235.433506,1000,1560.447514
-224.5063,1000,1616.657927
-311.203611,1000,1672.012191
-238.33612,1000,1726.500174
-259.121702,1000,1781.7039
-254.493644,1000,1835.900623
-241.647041,1000,1890.543785
-207.709468,1000,1945.134626
-215.698946,1000,2000.109312
-226.31353,1000,2054.746944
-227.778049,1000,2109.414499
-242.577788,1000,2164.326538
-283.703998,1000,2219.003842
-223.179656,1000,2273.48961
-216.771934,1000,2328.061521
-229.121316,1000,2346.486887
-225.116463,1000,2401.014601
-212.193016,1000,2455.752753
-261.150485,1000,2510.404404
-224.48163,1000,2565.006922
-271.431102,1000,2619.777833
-204.924959,1000,2674.287852
-226.704021,1000,2728.76709
-218.828789,1000,2783.394148
-227.153812,1000,2837.82333
-224.613705,1000,2895.660808
-313.617899,1000,2954.205674
-233.777053,1000,3009.903902
-253.317267,1000,3067.809837
-204.305003,1000,3121.856166
-297.423113,1000,3180.977899
-216.36347,1000,3238.708307
-235.474097,1000,3293.892507
-265.465154,1000,3349.029245
-217.717403,1000,3403.866731
-255.448042,1000,3460.062764
-208.371829,1000,3515.880099
-236.100941,1000,3572.091346
-236.045909,1000,3630.287967
-331.790929,1000,3687.083165
-226.336771,1000,3745.147434
-252.36329,1000,3804.476452
-213.345494,1000,3860.701895
-1056.382551,1000,3918.607338
-228.711841,1000,3975.643581
-235.977234,1000,4032.857302
-211.427913,1000,4088.129304
-216.51873,1000,4143.883499
-202.96084,1000,4200.017438
-250.581911,1000,4255.366549
-218.082183,1000,4312.270771
-236.193801,1000,4368.161664
-202.65995,1000,4424.875246
-214.48755,1000,4481.788341
-237.06211,1000,4538.530431
-201.652882,1000,4595.441118
-230.203275,1000,4652.621348
-253.289333,1000,4708.80713
-207.562168,1000,4727.971117
-256.91582,1000,4782.988808
-247.601831,1000,4837.703184
-291.114255,1000,4892.488983
-383.025636,1000,4947.137165
-250.899289,1000,5002.12354
-254.334572,1000,5057.007535
-220.241332,1000,5111.107289
-235.776051,1000,5168.414412
-213.110213,1000,5224.186079
-229.777037,1000,5280.204597
-209.215413,1000,5337.339261
-386.631835,1000,5393.541569
