#{"t_start": 1784715367.8192205, "env_id": "UR10E-reach-v0"}
r,l,t
-865.483898,1000,20.738275
-1837.278322,1000,72.591061
-603.882381,1000,128.984941
-1450.856219,1000,184.713052
-1683.955586,1000,242.438833
-1053.84522,1000,299.594026
-1167.862181,1000,350.756384
-1073.705343,1000,402.017336
-1189.874081,1000,459.265059
-1205.352944,1000,517.625401
-1045.998245,1000,575.945855
-1167.921106,1000,634.221394
-1208.318009,1000,692.430942
-735.341069,1000,750.63745
-810.136261,1000,808.634393
-864.788745,1000,866.288006
-847.895916,1000,923.971538
-1101.647449,1000,981.983078
-731.285076,1000,1039.340713
-1190.73843,1000,1092.007785
-773.825883,1000,1143.950002
-865.443576,1000,1196.677837
-482.652173,1000,1248.296782
-667.088406,1000,1300.012055
-787.028941,1000,1353.222886
-817.984863,1000,1410.217353
-608.790774,1000,1467.130754
-407.082671,1000,1524.205511
-292.612089,1000,1576.882755
-838.289882,1000,1629.254517
-394.996899,1000,1681.271469
-528.460031,1000,1738.384477
-309.944028,1000,1790.561029
-461.68632,1000,1842.175714
-482.890192,1000,1894.374082
-448.762083,1000,1945.452215
-504.148939,1000,2000.155596
-463.721628,1000,2057.146273
-345.739261,1000,2113.986853
-67.307679,219,2117.692244
-543.491097,1000,2174.58092
-507.351777,1000,2231.656811
-474.350626,1000,2288.560635
-493.579301,1000,2345.405738
-288.252255,1000,2402.194405
-410.32957,1000,2454.455186
-323.461661,1000,2505.381855
-415.406261,1000,2557.068521
-466.268289,1000,2609.70264
-396.878993,1000,2661.321989
-469.645467,1000,2712.053102
-330.428337,1000,2763.610083
-334.843497,1000,2779.295038
-330.158607,1000,2832.616688
-288.594886,1000,2884.137574
-384.894107,1000,2934.638695
-535.427113,1000,2987.389473
-489.325766,1000,3040.122002
-447.737208,1000,3092.907566
-354.540159,964,3145.676249
-271.348003,339,3188.142225
-72.452856,336,3193.439959
-15.790771,68,3194.511536
-220.289762,1000,3246.788137
-236.158242,1000,3298.004355
-532.277641,1000,3349.278469
-161.146965,398,3355.295683
-159.171784,607,3400.561391
-375.553577,1000,3453.000231
-279.767192,1000,3506.74971
-479.911065,1000,3560.359559
-345.436598,1000,3614.063578
-264.791591,1000,3667.95604
-114.34798,392,3674.101108
-76.601143,245,3677.953989
-261.2305,542,3723.667943
-207.269475,595,3769.380725
-43.277895,177,3772.069489
-212.41237,345,3777.295237
-220.93551,707,3824.049261
-94.098102,614,3833.400564
-58.095981,289,3873.770957
-212.68444,363,3879.270867
-292.687722,1000,3930.402325
-385.015076,1000,3981.562952
-83.926272,313,3986.316181
-231.196938,335,4027.430353
-36.640337,213,4030.662203
-43.16599,131,4032.646812
-322.130276,1000,4085.040527
-158.157824,271,4089.268517
-186.067622,259,4093.363894
-311.156296,1000,4147.175868
-75.217791,332,4190.399511
-218.10987,636,4200.41683
-337.989754,1000,4254.055755
-166.829628,714,4303.327572
-348.835811,1000,4357.359963
-517.198894,1000,4411.112729
-259.411864,455,4418.249549
-128.667328,232,4459.846944
-246.058184,1000,4513.418179
-305.620695,858,4526.782115
-247.602195,1000,4579.998985
-294.520276,1000,4632.17494
-430.030413,1000,4683.638757
-185.574217,1000,4734.872396
-162.144867,1000,4786.102493
-336.47153,1000,4837.350962
-134.582894,218,4876.74985
-280.607913,788,4888.695075
-229.07098,1000,4939.820171
-190.207526,257,4979.700461
-51.846795,148,4981.914217
-286.767319,1000,5033.083466
-281.530965,1000,5084.362823
-39.035262,128,5086.298424
-231.051055,700,5096.905773
-33.084841,115,5134.620284
-234.082942,358,5140.011136
-257.689269,376,5145.711637
-106.224639,707,5192.454931
-226.400937,279,5196.686466
-253.391013,1000,5248.01786
-413.277879,968,5298.799421
-126.497347,286,5303.148319
-250.712619,412,5345.436403
-113.099177,572,5354.144046
-77.277869,425,5396.628776
-161.313734,341,5401.806471
