#{"t_start": 1784715367.7292829, "env_id": "UR10E-reach-v0"}
r,l,t
-1508.480274,1000,20.827533
-1471.153265,1000,72.680321
-857.220077,1000,129.074076
-1641.895488,1000,184.802307
-911.857757,1000,242.528048
-1387.082972,1000,299.683328
-863.050423,1000,350.845632
-984.463353,1000,402.106612
-1134.130081,1000,459.35437
-762.776033,1000,517.71469
-803.066859,1000,576.035136
-525.502347,1000,634.310511
-684.308969,1000,692.520028
-495.812234,1000,750.726723
-644.057943,1000,808.72367
-477.198246,1000,866.377233
-859.66564,1000,924.060834
-666.365127,1000,982.071629
-381.367542,1000,1039.430021
-605.012666,1000,1092.096945
-639.764181,1000,1144.039247
-988.331097,1000,1196.767152
-645.736225,1000,1248.386052
-75.421911,161,1250.851469
-486.008875,1000,1302.572991
-420.95715,1000,1356.193218
-593.091445,1000,1412.800934
-658.308731,1000,1470.01454
-586.426463,1000,1527.095235
-671.470666,1000,1579.469121
-798.547665,1000,1632.035292
-442.876938,1000,1684.224493
-481.523036,1000,1741.036679
-856.505079,1000,1793.170958
-387.612877,1000,1844.710624
-615.425217,1000,1896.906755
-452.243199,1000,1948.024894
-267.783433,1000,2002.965972
-632.267282,1000,2059.942158
-564.915229,1000,2116.815613
-247.599716,1000,2173.68958
-473.883332,1000,2230.777578
-56.92422,145,2233.197679
-531.280617,1000,2290.105267
-407.088833,1000,2346.987489
-457.249204,1000,2403.735088
-439.814505,1000,2455.875669
-427.924226,1000,2506.87638
-356.816379,1000,2558.463839
-286.245881,972,2610.685205
-329.252017,1000,2662.300507
-363.129043,1000,2713.039999
-715.717411,1000,2764.544296
-325.80875,1000,2817.562022
-307.832961,1000,2869.785743
-402.231877,1000,2919.811936
-135.592845,260,2923.898551
-358.419273,1000,2976.749987
-286.144696,1000,3029.483432
-752.539203,1000,3082.279236
-789.815607,1000,3135.57514
-160.252445,297,3140.267174
-286.685385,1000,3193.164732
-141.195348,825,3242.85347
-342.643343,1000,3294.067388
-347.094731,1000,3345.322613
-229.305048,480,3352.595346
-121.867841,451,3395.518987
-443.756089,1000,3447.768273
-396.395125,972,3501.040366
-454.784227,967,3516.256852
-72.454977,149,3556.4891
-212.444087,1000,3610.220614
-196.488866,937,3663.100699
-85.542943,334,3668.350335
-167.208209,261,3672.449338
-42.165456,137,3674.586822
-188.973677,1000,3727.391692
-132.765207,294,3731.847459
-296.502264,1000,3783.672606
-281.791711,381,3825.486798
-283.857365,368,3831.09986
-185.637471,1000,3882.244009
-160.635647,706,3928.937355
-220.149775,419,3935.256298
-131.176656,317,3976.087055
-134.27254,341,3981.256277
-30.158544,94,3982.689062
-453.980827,1000,4033.890286
-326.25087,1000,4086.321823
-361.956552,1000,4140.141528
-255.096501,446,4147.140066
-261.737601,380,4191.119779
-58.277254,186,4194.064979
-131.754657,714,4243.294411
-288.771118,482,4250.798644
-24.116204,94,4252.266544
-59.50556,186,4255.186888
-158.838426,286,4297.712523
-152.531715,670,4308.283164
-152.353127,388,4352.660124
-181.849803,1000,4406.427271
-40.863232,114,4408.197504
-209.519266,1000,4461.864475
-332.528811,1000,4515.419737
-249.370002,671,4525.886107
-48.737024,251,4567.504377
-61.726876,146,4569.796386
-121.332667,332,4574.887283
-320.491554,1000,4627.267621
-52.081817,396,4633.169168
-77.560252,194,4672.406882
-37.688894,141,4674.5562
-37.926254,103,4676.113208
-222.062608,471,4683.270933
-302.199031,1000,4734.503832
-275.730519,1000,4785.741063
-189.814762,1000,4836.985749
-368.343375,1000,4888.237952
-138.413017,219,4891.564913
-41.860434,130,4929.511149
-81.050512,233,4933.029722
-150.186655,1000,4984.14631
-635.261479,1000,5035.311411
-390.422417,1000,5086.5849
-230.949086,316,5091.382146
-132.452348,293,5095.818531
-188.634362,420,5138.115256
-504.336352,1000,5189.293705
-32.172094,182,5192.054408
-254.009903,1000,5243.389901
-156.96485,1000,5294.666389
-203.916843,341,5299.833599
-41.64967,166,5302.356055
-237.946874,471,5345.541752
-173.537422,1000,5396.77747
-156.476217,821,5445.267215
-142.021544,207,5448.400902
-250.388556,329,5453.378937
-65.998946,230,5456.85978
-99.209481,257,5499.199998
-169.517509,1000,5554.968315
-296.97152,1000,5611.342959
-235.040934,382,5617.795202
-162.542089,280,5622.47854
-147.326412,246,5627.580016
-230.448056,345,5670.701853
-281.59353,402,5677.644253
-302.388488,1000,5730.415661
-83.530034,507,5776.220332
-287.385627,1000,5828.897457
-55.08747,161,5831.529494
-121.820109,223,5835.436976
-189.021708,560,5883.609089
-276.001075,989,5900.467166
-70.910282,226,5943.42157
-197.059536,1000,5999.947038
-138.051881,544,6009.52684
-38.618793,97,6011.227489
-240.834161,371,6056.95484
-292.432299,400,6063.812411
-128.099498,338,6069.774406
-29.347718,99,6071.538065
-530.659682,1000,6128.344822
-293.609963,373,6174.140948
-323.166358,1000,6231.214717
-397.479876,1000,6287.750268
-114.748941,252,6291.977978
-53.426655,123,6294.111393
-64.662937,162,6296.898121
-22.72674,78,6298.282372
-341.302568,860,6352.423398
-29.230972,141,6354.808255
-44.57332,165,6397.182626
-240.071967,331,6402.694459
-279.808812,1000,6459.090744
-207.255913,429,6466.401636
-194.961528,1000,6522.741987
-139.47505,966,6578.515249
-321.52682,1000,6634.678867
-230.000901,327,6640.303035
-245.115799,377,6681.945466
-109.217449,202,6685.337123
-224.193648,477,6693.440595
-280.500498,373,6735.618173
-247.067317,353,6741.618459
-79.626037,372,6785.982579
-69.524809,458,6793.366662
-33.371446,108,6795.113965
-334.891622,666,6845.098988
-79.631841,139,6847.406987
-184.891483,265,6851.806203
-57.829441,210,6855.326172
-253.58242,339,6901.189299
-117.214607,406,6908.031676
-115.967527,217,6911.856236
-240.802708,354,6957.492291
-327.311888,803,6971.548926
-180.942499,1000,7026.415066
-165.939918,1000,7081.363166
-134.294441,498,7129.803229
-33.746525,145,7132.096778
-254.457127,722,7182.11781
-119.633445,657,7193.053421
-46.553117,236,7233.783487
-292.029473,1000,7286.275221
-229.569462,350,7291.69121
-297.418363,410,7298.048532
-47.647013,107,7299.73454
-236.58927,345,7341.061327
-160.451937,450,7347.954543
-31.415355,118,7349.784472
-284.675494,1000,7400.550779
-255.43431,1000,7451.300266
-375.313157,1000,7501.891108
-189.66996,290,7542.92153
-96.101689,702,7553.908466
-167.766715,306,7594.137478
-92.23239,342,7599.256536
-72.398841,258,7603.147955
-365.514851,1000,7653.224487
-16.367983,67,7654.289651
-246.552381,443,7697.424211
-124.412949,434,7704.210234
-137.814243,210,7707.65611
-242.242804,1000,7759.020396
-310.604021,814,7807.610363
-267.057543,1000,7858.962018
-375.170754,1000,7910.556854
-50.83831,228,7914.364863
-60.649859,184,7917.376519
-126.390565,456,7960.86957
-25.743351,158,7963.347162
-256.360186,1000,8014.655191
-179.448057,259,8018.577513
-44.20687,132,8020.569317
-52.846535,164,8023.101155
-80.266237,347,8064.56421
-196.919235,333,8069.667365
-87.737354,148,8071.939903
-136.964614,453,8113.995113
-261.1913,360,8119.458841
-181.275281,266,8123.484681
-128.680813,457,8167.199393
-65.432421,284,8171.590169
-71.192904,423,8178.213015
-225.749218,317,8219.580853
