#{"t_start": 1785346448.405083, "env_id": "UR10E-pgp-v0"}
r,l,t
-386.108861,1000,52.862352
-1240.306996,1000,93.406519
-482.189479,1000,134.074602
-687.460268,1000,175.370296
-377.443495,1000,216.560308
-204.87277,1000,257.666628
-238.329667,1000,298.188543
-462.662243,1000,338.859644
-282.21088,1000,379.245284
-471.592674,1000,419.663715
-216.240815,1000,460.274731
-270.08712,1000,500.936676
-337.277068,1000,542.347608
-302.833392,1000,584.11033
-375.439618,1000,624.85128
-274.501039,1000,665.462095
-227.645555,1000,707.63134
-197.400009,1000,748.90353
-190.383401,1000,789.806099
-205.242512,1000,829.598124
-195.172304,1000,870.614733
-210.222175,1000,910.685342
-416.414658,1000,951.347431
-242.873719,1000,992.348408
-506.27772,1000,1033.850588
-243.500082,1000,1075.099057
-475.584216,1000,1117.113475
-190.240097,1000,1159.245877
-445.635411,1000,1200.79914
-236.050946,1000,1241.333392
-254.712529,1000,1281.944917
-245.800121,1000,1323.724351
-252.246215,1000,1363.740213
-221.374247,1000,1405.690582
-419.044122,1000,1446.36594
-523.411755,1000,1486.31885
-211.45917,1000,1525.359986
-300.199774,1000,1566.743451
-262.65097,1000,1607.355036
-246.385954,1000,1649.215314
-212.06135,1000,1689.845256
-233.526934,1000,1731.7536
-222.647169,1000,1773.632874
-218.239764,1000,1815.288412
-211.039267,1000,1856.83196
-159.548761,1000,1895.451844
-199.589711,1000,1934.464557
-187.991492,1000,1974.239268
-257.151403,1000,2015.299776
-243.854856,1000,2056.257971
-419.970154,1000,2097.504428
-194.848853,1000,2138.598855
-180.062143,1000,2180.704476
-184.941577,1000,2223.226077
-204.14555,1000,2264.211321
-215.961034,1000,2302.57406
-218.208422,1000,2343.528136
-292.629075,1000,2384.341188
-265.832751,1000,2425.225337
-208.330315,1000,2465.433177
-193.792218,1000,2507.396172
-271.207828,1000,2550.593479
-217.197931,1000,2592.72349
-300.342633,1000,2635.037848
-195.536931,1000,2677.541866
-212.317369,1000,2719.24891
-202.890573,1000,2761.131406
-207.813315,1000,2803.665303
-978.649341,1000,2847.307025
-1021.456234,1000,2891.071316
-572.530078,1000,2936.358537
-171.639922,1000,2979.544639
-236.479307,1000,3021.78319
-455.497801,1000,3061.737769
-129.057978,1000,3103.907768
-356.003428,1000,3145.868611
-173.339928,1000,3188.07565
-199.317863,1000,3229.54491
-196.809957,1000,3273.35378
-186.283487,1000,3314.872859
-151.673534,1000,3358.036463
-177.314885,1000,3400.952608
-370.545968,1000,3444.59959
-500.102787,1000,3488.439229
-292.670875,1000,3531.065374
-390.265971,1000,3573.949447
-424.223291,1000,3617.270836
-231.883168,1000,3659.435506
-195.383645,1000,3700.743804
-179.290564,1000,3742.330706
-189.827147,1000,3784.708529
-247.070234,1000,3827.219549
-136.774757,1000,3870.985565
-185.361198,1000,3914.884614
-175.747093,1000,3957.111063
-470.369901,1000,3999.188896
-233.188411,1000,4041.441995
-190.618309,1000,4083.780805
-284.328283,1000,4126.420357
-263.132943,1000,4168.82491
-234.272622,1000,4209.987872
-183.109753,1000,4254.460501
-202.959462,1000,4297.6146
-200.055233,1000,4341.769333
-249.139121,1000,4385.878581
-252.81677,1000,4427.154438
-187.360822,1000,4470.30034
-203.044535,1000,4514.287705
-205.762653,1000,4558.127763
-197.042054,1000,4601.778741
-213.852944,1000,4644.453167
-213.268819,1000,4687.281769
-181.400971,1000,4729.605211
-239.735131,1000,4773.005428
-278.197219,1000,4816.822255
-205.918485,1000,4861.095078
-186.121418,1000,4900.9507
-179.898671,1000,4941.439428
-199.100097,1000,4983.666995
-198.628451,1000,5025.258712
-194.299769,1000,5068.55299
-181.43481,1000,5110.720717
-247.072535,1000,5153.383655
