#{"t_start": 1784715367.909292, "env_id": "UR10E-reach-v0"}
r,l,t
-817.861547,1000,20.64887
-1357.019791,1000,72.501668
-1035.037151,1000,128.8957
-1748.499654,1000,184.623715
-1027.686454,1000,242.3494
-1241.144836,1000,299.50459
-798.14771,1000,350.66691
-1050.453574,1000,401.927894
-996.596185,1000,459.175695
-567.912372,1000,517.535957
-1279.130163,1000,575.856443
-609.429078,1000,634.132004
-791.14708,1000,692.34193
-704.634438,1000,750.548038
-806.788039,1000,808.544975
-876.587796,1000,866.198588
-492.319698,1000,923.882203
-774.326438,1000,981.893713
-715.745501,1000,1039.251275
-719.286046,1000,1091.918576
-572.406578,1000,1143.860559
-769.818477,1000,1196.588384
-902.857725,1000,1248.207366
-941.866039,1000,1299.922653
-467.791467,1000,1353.133529
-463.954653,1000,1410.127891
-939.064116,1000,1467.041355
-521.218622,1000,1524.116063
-600.063971,1000,1576.79333
-570.142696,1000,1629.165104
-737.039947,1000,1681.182051
-436.870332,1000,1738.295103
-631.729969,1000,1790.47162
-495.095535,1000,1842.086293
-509.814585,1000,1894.284637
-392.610968,1000,1945.362763
-469.68525,1000,2000.066239
-518.304333,1000,2057.056847
-480.364513,1000,2113.897554
-449.860464,1000,2170.834555
-651.186503,1000,2227.95961
-212.722965,1000,2284.861224
-433.094227,1000,2301.825691
-103.40192,361,2347.803331
-644.462963,1000,2404.493024
-241.668078,1000,2456.538586
-386.605988,1000,2507.565208
-458.903959,1000,2559.115658
-237.23235,1000,2611.767389
-491.078426,1000,2663.38526
-267.894955,1000,2714.168798
-304.518757,1000,2765.658227
-557.842818,1000,2818.695458
-541.848659,1000,2870.85933
-182.74133,698,2881.584167
-373.134089,1000,2931.991375
-175.033904,1000,2984.773997
-489.220338,1000,3037.503743
-332.316906,1000,3090.297312
-249.656263,1000,3143.625701
-196.887871,624,3190.58947
-461.425234,1000,3243.020041
-355.364831,1000,3294.24431
-212.057695,1000,3345.488801
-253.37733,1000,3396.721346
-344.975487,1000,3449.024158
-500.364684,1000,3502.730007
-167.921624,419,3509.353657
-182.879221,1000,3562.941221
-308.745974,578,3610.058213
-213.96597,426,3616.74278
-267.930711,1000,3670.620747
-216.194608,405,3676.971471
-92.919233,365,3720.02328
-295.521571,1000,3771.88929
-93.469573,329,3776.875374
-121.877365,494,3820.432115
-26.127179,89,3821.751502
-332.211049,1000,3872.935183
-146.974836,309,3877.621144
-230.475337,352,3882.94625
-26.796966,81,3884.176735
-254.138133,399,3926.21079
-158.981574,330,3931.200137
-167.302029,289,3935.561941
-87.174104,348,3976.855671
-117.603445,440,3983.542214
-378.140949,1000,4034.742309
