#{"t_start": 1785346448.2115, "env_id": "UR10E-pgp-v0"}
r,l,t
-699.235709,1000,53.053935
-289.448931,1000,93.59864
-429.533058,1000,134.266768
-215.481465,1000,175.562289
-252.644414,1000,216.752226
-307.889002,1000,257.858438
-328.81368,1000,298.380713
-228.539557,1000,339.051582
-273.557655,1000,379.437517
-454.713164,1000,419.855994
-214.937525,1000,460.466965
-204.488447,1000,501.128506
-387.8065,1000,542.539207
-251.756884,1000,584.302606
-241.629618,1000,625.043404
-461.141753,1000,665.654193
-236.597233,1000,707.823061
-294.216249,1000,749.095627
-247.928769,1000,789.998323
-455.645443,1000,829.78956
-246.358417,1000,870.806699
-222.655933,1000,910.877614
-306.370095,1000,951.539695
-214.164456,1000,992.540556
-300.494464,1000,1034.042851
-248.998756,1000,1075.291115
-243.026284,1000,1117.305488
-262.981072,1000,1159.437895
-236.834963,1000,1200.991163
-259.722951,1000,1241.52562
-512.146377,1000,1282.137132
-209.009223,1000,1323.916594
-230.106319,1000,1363.932249
-187.925481,1000,1405.88276
-287.8387,1000,1446.557727
-630.16461,1000,1486.511053
-269.294074,1000,1525.552029
-337.628991,1000,1566.935472
-317.641163,1000,1607.547094
-290.081357,1000,1649.407599
-215.688706,1000,1690.037415
-291.855366,1000,1731.945775
-260.101041,1000,1773.824718
-252.727154,1000,1815.48039
-360.0731,1000,1857.024113
-236.992272,1000,1895.643981
-219.930735,1000,1934.656654
-281.867151,1000,1974.431367
-187.054249,1000,2015.492072
-279.103019,1000,2056.449945
-205.559474,1000,2097.696687
-262.833314,1000,2138.790996
-314.830929,1000,2180.896538
-375.515425,1000,2223.418219
-177.812823,1000,2264.403138
-184.418061,1000,2302.766294
-244.826507,1000,2343.720308
-269.074491,1000,2384.53331
-186.062006,1000,2425.417475
-324.895315,1000,2465.625253
-197.292256,1000,2507.588367
-322.578517,1000,2550.785739
-187.325119,1000,2592.915774
-180.119736,1000,2635.230118
-167.132857,1000,2677.733743
-227.798609,1000,2719.441156
-262.836259,1000,2761.323548
-221.056988,1000,2803.857491
-309.573114,1000,2847.499292
-210.239748,1000,2891.263475
-190.211706,1000,2936.550603
-218.75763,1000,2979.736552
-224.533137,1000,3021.975455
-211.636526,1000,3061.93001
-208.518833,1000,3104.099612
-520.941588,1000,3146.060845
-246.300365,1000,3188.267768
-241.454724,1000,3229.7371
-682.710997,1000,3273.54602
-230.854757,1000,3315.064687
-178.434702,1000,3358.228306
-206.895623,1000,3401.144767
-196.641653,1000,3444.79152
-223.24576,1000,3488.631419
-183.931916,1000,3531.257511
-178.046495,1000,3574.141665
-234.224085,1000,3617.463054
-272.373837,1000,3659.627478
-181.742094,1000,3700.935919
-218.17778,1000,3742.522731
-473.711159,1000,3784.900717
-256.165504,1000,3827.411487
-361.009891,1000,3871.177218
-181.103983,1000,3915.076788
-381.494324,1000,3957.30311
-302.478803,1000,3999.380928
-201.953758,1000,4041.634133
-937.120756,1000,4083.972916
-180.937141,1000,4126.612588
-177.898836,1000,4169.01707
-530.474566,1000,4210.179797
-146.854598,1000,4254.652343
-234.963096,1000,4297.806811
-210.012086,1000,4341.96143
-261.175079,1000,4386.070788
-235.607701,1000,4427.346611
-200.367819,1000,4470.492418
-188.285738,1000,4514.479855
-133.435399,1000,4558.319691
-191.370212,1000,4601.970827
-256.0188,1000,4644.645288
-190.966468,1000,4687.473919
-257.575964,1000,4729.797358
-177.906149,1000,4773.197378
-199.199185,1000,4817.014266
-175.89061,1000,4861.286941
-221.448639,1000,4901.142741
-242.466286,1000,4941.6315
-199.966934,1000,4983.85926
-198.209626,1000,5025.450461
-259.524713,1000,5068.745152
-320.784324,1000,5110.912544
-346.448997,1000,5153.575747
