#{"t_start": 1785346451.2346747, "env_id": "UR10E-pgp-v0"}
r,l,t
-491.332777,1000,50.051604
-644.343483,1000,90.589074
-426.285409,1000,131.257326
-251.252347,1000,172.554537
-191.711696,1000,213.742748
-493.841045,1000,254.850117
-317.644775,1000,295.371876
-188.722197,1000,336.042092
-372.512847,1000,376.427444
-298.212235,1000,416.846
-230.843001,1000,457.457568
-254.516539,1000,498.12447
-244.100752,1000,539.531495
-451.714276,1000,581.292433
-278.408069,1000,622.03316
-261.751095,1000,662.64443
-413.357121,1000,704.816417
-343.007525,1000,746.086188
-212.174187,1000,786.987947
-367.873055,1000,826.786244
-275.204285,1000,867.799478
-257.04012,1000,907.867666
-340.56359,1000,948.529642
-225.091357,1000,989.531173
-212.033477,1000,1031.033113
-202.889765,1000,1072.280881
-486.932887,1000,1114.295464
-241.055751,1000,1156.429027
-297.91923,1000,1197.981209
-254.030949,1000,1238.516291
-193.378096,1000,1279.127289
-246.864708,1000,1320.907032
-348.929701,1000,1360.923111
-186.329892,1000,1402.873714
-309.487848,1000,1443.547876
-451.855513,1000,1483.501352
-191.432585,1000,1522.543754
-234.361925,1000,1563.926406
-253.108672,1000,1604.53791
-269.1818,1000,1646.397937
-208.665125,1000,1687.027891
-422.7332,1000,1728.935739
-241.824736,1000,1770.815428
-242.395875,1000,1812.471106
-178.106466,1000,1854.014646
-356.916017,1000,1892.634202
-288.67131,1000,1931.647006
-353.230695,1000,1971.422903
-276.313783,1000,2012.481681
-226.077771,1000,2053.442457
-247.077969,1000,2094.687237
-410.486954,1000,2135.781768
-194.346678,1000,2177.887249
-353.517244,1000,2220.408955
-185.482998,1000,2261.394939
-174.855075,1000,2299.756777
-271.343893,1000,2340.710696
-230.083365,1000,2381.524898
-256.27405,1000,2422.407914
-217.048075,1000,2462.616212
-429.782669,1000,2504.578212
-197.885246,1000,2547.776829
-287.942216,1000,2589.907
-380.09417,1000,2632.220286
-192.323777,1000,2674.725337
-176.025527,1000,2716.431843
-325.091783,1000,2758.314526
-215.386682,1000,2800.848515
-188.860397,1000,2844.49129
-278.45377,1000,2888.253756
-219.953011,1000,2933.543508
-435.096394,1000,2976.728127
-263.76225,1000,3018.965652
-215.095988,1000,3058.921126
-249.783277,1000,3101.090927
-173.220974,1000,3143.051297
-206.16328,1000,3185.259681
-509.98617,1000,3226.727889
-222.246036,1000,3270.537726
-271.405699,1000,3312.055675
-189.999734,1000,3355.219096
-182.828583,1000,3398.135977
-212.207948,1000,3441.782771
-185.928995,1000,3485.622859
-178.115842,1000,3528.249158
-606.236893,1000,3571.132916
-349.12388,1000,3614.454401
-253.367862,1000,3656.620488
-193.199034,1000,3697.928088
-170.891145,1000,3739.51345
-215.881481,1000,3781.892154
-172.451936,1000,3824.402789
-177.605619,1000,3868.169669
-211.545842,1000,3912.068079
-175.487808,1000,3954.295164
-226.80758,1000,3996.37184
-329.780852,1000,4038.624043
-178.831928,1000,4080.966999
-224.435423,1000,4123.603528
-208.359489,1000,4166.007569
-283.489052,1000,4207.171227
-183.067959,1000,4251.643116
-212.703938,1000,4294.79711
-319.314172,1000,4338.953013
-211.302473,1000,4383.062074
-302.391344,1000,4424.33825
-198.69143,1000,4467.483916
-208.064109,1000,4511.470846
-197.315516,1000,4555.311453
-210.832184,1000,4598.962627
-263.631291,1000,4641.638176
-238.839742,1000,4684.465585
-198.553093,1000,4726.788306
-185.273051,1000,4770.188742
-188.355132,1000,4814.006361
-365.106065,1000,4858.278981
-218.16149,1000,4898.134094
-189.026162,1000,4938.622539
-190.905643,1000,4980.850355
-232.401706,1000,5022.445756
-166.266222,1000,5065.737288
-188.673399,1000,5107.90441
-242.767339,1000,5150.568548
