#{"t_start": 1784715370.345504, "env_id": "UR10E-reach-v0"}
r,l,t
-930.229968,1000,18.229591
-388.837173,1000,70.081839
-853.673794,1000,126.476459
-1480.824993,1000,182.204328
-1480.613247,1000,239.929755
-636.271931,1000,297.084347
-807.872363,1000,348.246808
-1152.016965,1000,399.509803
-1004.285492,1000,456.756994
-756.140252,1000,515.117764
-1071.7793,1000,573.437357
-705.098495,1000,631.714277
-1269.624349,1000,689.929312
-611.764095,1000,748.128024
-639.5466,1000,806.124866
-675.586738,1000,863.778532
-571.434099,1000,921.464092
-764.206572,1000,979.474121
-657.792771,1000,1036.830366
-961.655461,1000,1089.499171
-672.25589,1000,1141.440242
-826.310377,1000,1194.1684
-910.490558,1000,1245.7866
-651.734692,1000,1297.502339
-653.840444,1000,1350.715342
-884.131201,1000,1407.70712
-849.848977,1000,1464.62193
-783.289304,1000,1521.695653
-502.901211,1000,1574.3731
-403.467063,1000,1626.743576
-582.545153,1000,1678.760348
-892.837959,1000,1735.873771
-438.606716,1000,1788.049955
-788.173931,1000,1839.664984
-603.793154,1000,1891.862444
-615.434074,1000,1942.940011
-568.197261,1000,1997.646511
-303.4756,1000,2054.633389
-553.570645,1000,2111.475061
-413.000428,1000,2168.410806
-370.810592,1000,2225.534837
-409.851989,1000,2282.436384
-396.324839,1000,2299.399369
-278.236338,1000,2356.403932
-390.607305,1000,2413.177009
-490.786049,1000,2464.106542
-418.774561,1000,2515.011897
-137.129763,381,2556.990441
-482.242659,1000,2609.643706
-395.854664,1000,2661.26442
-280.34154,1000,2712.054597
-157.483275,282,2716.555259
-278.03188,1000,2768.014685
-702.159946,1000,2821.132543
-159.018024,321,2826.297482
-153.618399,744,2874.089119
-232.61752,654,2918.803554
-105.65943,260,2922.928669
-245.809733,1000,2975.782702
-296.262287,606,2985.33219
-125.690143,256,3026.350159
-47.754282,120,3028.234172
-188.432219,437,3035.106911
-256.504398,840,3085.375069
-228.178494,884,3136.875882
-376.003711,1000,3189.771438
-736.077985,1000,3242.130924
-350.068091,947,3292.563037
-177.235185,343,3297.754336
-312.855423,925,3347.87719
-152.458532,338,3352.989111
-88.111309,473,3396.227694
-73.435655,249,3400.019444
-50.82973,154,3402.356116
-207.955821,986,3454.694995
-403.779765,1000,3508.48728
-350.956256,1000,3562.047786
-160.060353,733,3611.580266
-252.046083,367,3617.389607
-261.578712,949,3670.425887
-386.205289,1000,3723.253996
-108.870229,270,3727.391387
-72.054635,188,3766.892511
-95.884357,512,3774.6562
-25.588157,85,3775.942935
-75.488981,276,3780.12469
-234.932345,341,3821.336462
-512.586459,1000,3872.525105
-248.000639,1000,3923.656985
-187.385233,1000,3974.806991
-103.135776,560,3983.311759
-160.967981,491,4026.791168
-24.913577,77,4027.96251
-376.921287,1000,4080.299355
-201.58174,294,4084.885047
-292.161291,1000,4138.703533
-49.532408,138,4140.882915
-326.459578,1000,4194.599481
-270.728761,667,4243.104818
-341.173974,880,4294.882152
-276.030705,897,4347.310554
-85.960947,277,4351.657314
-310.261694,816,4402.510668
-47.043268,118,4404.379873
-34.627734,128,4406.385088
-162.684001,271,4410.656429
-395.413493,1000,4464.306356
-232.487759,413,4470.791018
-46.953258,135,4510.772995
-117.633335,300,4515.439431
-84.174186,420,4522.008565
-270.292614,1000,4575.241311
-31.963797,155,4577.620202
-245.043663,514,4622.551931
-180.426379,1000,4673.868665
-225.115198,445,4680.633429
-269.855305,1000,4731.865644
-255.728696,349,4773.225027
-311.446822,1000,4824.44664
-78.293419,522,4832.374589
-267.881774,556,4876.879117
-377.175334,1000,4928.053198
-206.217391,313,4932.770154
-263.789086,1000,4983.911604
-309.123789,353,4989.275554
-126.925488,442,5031.957581
-146.524922,268,5036.041935
-228.781288,341,5041.229295
-153.218067,671,5087.481495
-295.424749,1000,5138.559814
-103.271664,215,5141.828058
-21.269623,85,5143.116143
-213.654838,1000,5194.303516
-769.193189,1000,5245.636646
-217.267323,315,5250.412507
-292.258589,1000,5301.687175
-248.66388,493,5345.219899
-86.416675,207,5348.362807
-251.515809,1000,5399.599034
-270.269263,529,5443.639794
-28.20419,148,5445.884827
-172.382722,263,5449.869891
-208.859891,519,5496.14544
-63.72534,178,5499.089212
-32.055048,105,5500.875162
-454.494645,1000,5556.581662
-249.321744,586,5566.611917
-213.783265,358,5612.085676
-102.502456,173,5615.022785
-74.655488,192,5618.329053
-437.734663,1000,5673.539653
-140.639895,395,5679.870972
-238.028616,399,5722.842832
-291.179617,1000,5776.808621
-163.271248,479,5784.825582
-40.760308,107,5786.691355
-82.41782,350,5828.470108
-194.760568,292,5833.481682
-174.828239,256,5837.855698
-26.441491,119,5839.893608
-248.444064,1000,5895.507488
-48.323693,158,5937.548518
